chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr3	113342244	113342745	Chimp_hyper_ND	Human-specific	502	20	153.706418416446	0.4708	0.5514	0.7871	0.3243	0.7942	0.3676	4.06475011970255e-29	0.712817131997161	9.67798231181233e-27
chr11	115845443	115847040	Chimp_hyper_ND	Human-specific	1598	16	139.905933812586	0.1926	0.2521	0.7248	0.3764	0.853	0.6491	2.35256104531405e-34	0.032215432708401	2.35651732827437e-24
chr2	70758696	70761220	Chimp_hyper_ND	Human-specific	2525	19	117.712609237924	0.6139	0.6793	0.9348	0.7583	0.9126	0.7027	1.41184623265693e-23	0.0200965217396472	3.52842781685224e-43
chr10	119875584	119876546	Chimp_hyper_ND	Human-specific	963	19	116.790372062643	0.5989	0.4919	0.8998	0.5069	0.9005	0.5859	2.54662031306692e-25	7.51961547364516e-06	7.96856817671819e-14
chr20	52779042	52779589	Chimp_hyper_ND	Human-specific	548	16	110.009992806929	0.1223	0.0551	0.435	0.0638	0.3866	0.0035	1.6590174890424e-09	0.0511978749519564	1.2175257933886e-32
chr13	60070140	60071040	Chimp_hyper_ND	Human-specific	901	10	107.452917162409	0.6267	0.8276	0.9272	0.6003	0.9291	0.6824	1.23289242417316e-82	0.177568954941673	1.13798603030799e-58
chr16	49055475	49057616	Chimp_hyper_ND	Human-specific	2142	15	95.8558703880215	0.546	0.5588	0.7746	0.4624	0.881	0.5201	5.55879294170153e-22	6.84459887266435e-10	8.31916638403504e-75
chr18	2856703	2858050	Chimp_hyper_ND	Human-specific	1348	18	93.6794130180511	0.6517	0.6937	0.9204	0.693	0.8055	0.5952	2.91186656793311e-35	2.22964853980275e-05	1.61606722944173e-10
chr18	77509748	77510011	Chimp_hyper_ND	Human-specific	264	12	92.8700913054841	0.2391	0.4622	0.5977	0.204	0.8206	0.5332	1.16293794959487e-20	0.0792594088417858	1.65789685097866e-21
chr3	99790961	99793148	Chimp_hyper_ND	Human-specific	2188	13	92.6153304575139	0.7372	0.8721	0.917	0.7427	0.9312	0.7942	2.97161620099737e-33	0.38641432675478	1.01525312089519e-32
chr6	148701287	148702921	Chimp_hyper_ND	Human-specific	1635	15	83.9332128201351	0.4963	0.5125	0.7986	0.4925	0.8646	0.7082	5.21321298725267e-20	0.00988849258180333	8.58809204018877e-11
chr2	33699952	33701141	Chimp_hyper_ND	Human-specific	1190	11	82.4937087939402	0.1988	0.1263	0.6403	0.2021	0.6412	0.1127	5.53398556362768e-21	2.13920563344004e-13	3.72848256268366e-110
chr13	95314185	95314877	Chimp_hyper_ND	Human-specific	693	14	80.9801479545932	0.3377	0.3605	0.6931	0.412	0.6518	0.433	8.51728087882877e-12	0.512964721041191	2.07405287760928e-06
chr6	710427	711826	Chimp_hyper_ND	Human-specific	1400	13	79.7595854714248	0.052	0.075	0.4416	0.2369	0.7538	0.164	4.38161324374507e-13	2.29629699362839e-17	1.88812483351577e-65
chr8	92358262	92360358	Chimp_hyper_ND	Human-specific	2097	9	74.7827135339868	0.5664	0.6078	0.8978	0.5868	0.94	0.617	1.25797931666154e-39	0.271657102258636	2.05840706175486e-55
chr13	95358540	95359203	Chimp_hyper_ND	Human-specific	664	12	71.1229531745673	0.1546	0.1324	0.3919	0.1171	0.456	0.1867	2.45778371986845e-14	0.82759124147713	6.12013566373117e-18
chr6	74289863	74290516	Chimp_hyper_ND	Human-specific	654	18	70.7223463211244	0.2544	0.0046	0.4759	0.0169	0.4662	0.0196	7.3551202058028e-06	0.76363369443887	1.43870520584296e-05
chr15	48934432	48936099	Chimp_hyper_ND	Human-specific	1668	11	67.7144641263927	0.4578	0.4715	0.7088	0.4321	0.6394	0.461	7.61723281778956e-21	0.00650388427424793	2.30943307172617e-09
chr3	30975518	30976026	Chimp_hyper_ND	Human-specific	509	8	67.5777510391589	0.3698	0.2762	0.712	0.2438	0.8617	0.5699	5.4495996636038e-31	5.66836638329592e-05	7.11715712761355e-16
chr15	96878837	96879818	Chimp_hyper_ND	Human-specific	982	15	67.3777684420529	0.2927	0.2307	0.4493	0.1672	0.6499	0.3587	1.077772131965e-20	0.533789014407441	7.90362310169254e-22
chr14	72666017	72667478	Chimp_hyper_ND	Human-specific	1462	9	66.9327181867812	0.599	0.7347	0.8469	0.6142	0.9193	0.7581	5.59898821404193e-42	0.188725378536507	7.29309510829577e-16
chr12	129035348	129036311	Chimp_hyper_ND	Human-specific	964	9	66.6772536033969	0.39	0.2339	0.821	0.2522	0.8034	0.4708	1.35118843645206e-36	2.83683008788609e-11	2.44532931995141e-11
chr8	6404534	6405105	Chimp_hyper_ND	Human-specific	572	11	66.6614410545837	0.7403	0.844	0.9195	0.7341	0.9559	0.8062	5.16079439056623e-31	0.591650801453417	1.73657539215043e-32
chr12	69724823	69725303	Chimp_hyper_ND	Human-specific	481	16	66.4707070623095	0.1192	0.0346	0.513	0.1355	0.7684	0.3129	5.36689804809515e-10	0.376196398220794	2.39079279060391e-15
chr7	48619670	48621070	Chimp_hyper_ND	Human-specific	1401	14	65.7369924960248	0.6848	0.6608	0.8235	0.6075	0.8673	0.5863	1.06704829810049e-13	0.1086921638118	1.191574564865e-38
chr4	178163819	178164120	Chimp_hyper_ND	Human-specific	302	7	63.2806179868075	0.5726	0.5166	0.9063	0.4651	0.9124	0.2688	2.64528883216507e-37	8.34854438788857e-09	2.15756091755839e-85
chr10	107153110	107153756	Chimp_hyper_ND	Human-specific	647	8	63.2686030291745	0.6949	0.7781	0.9505	0.7232	0.9145	0.7674	8.48686916235675e-27	0.000126681225383644	3.38951055169922e-22
chr3	195905974	195906847	Chimp_hyper_ND	Human-specific	874	14	62.9039821898514	0.2879	0.0693	0.6032	0.081	0.4457	0.1115	1.02164670314838e-11	0.0109039226474637	0.00262240461063481
chr12	112939343	112939968	Chimp_hyper_ND	Human-specific	626	8	61.9453127029465	0.6271	0.7421	0.8721	0.5515	0.9274	0.7523	4.45478322396951e-22	0.356394339976874	5.0240397539989e-26
chr6	16200640	16201079	Chimp_hyper_ND	Human-specific	440	14	61.3368270474914	0.1285	0.0398	0.4015	0.0648	0.7533	0.0593	5.70697938605949e-07	2.14248912226317e-15	5.03746842752799e-65
chr12	76270646	76272338	Chimp_hyper_ND	Human-specific	1693	10	60.5984740460504	0.5412	0.4677	0.8165	0.4067	0.9017	0.7383	3.46594767573046e-25	5.66158482165387e-09	2.32131692589311e-11
chr3	3551811	3552676	Chimp_hyper_ND	Human-specific	866	10	60.5052953454723	0.5852	0.6188	0.7976	0.5368	0.8305	0.6402	1.37426379492393e-26	0.346415858345868	2.53759356460775e-12
chr2	223916473	223916952	Chimp_hyper_ND	Human-specific	480	11	59.8279240635837	0.3782	0.2071	0.5325	0.0621	0.7702	0.2181	5.1963523082617e-15	0.661605920611254	1.33430993536365e-16
chr11	45766626	45767072	Chimp_hyper_ND	Human-specific	447	8	59.4002913422385	0.6086	0.4716	0.8314	0.353	0.8936	0.4156	4.23296970554819e-19	0.565232557005552	1.05273170177448e-20
chr9	140444075	140444721	Chimp_hyper_ND	Human-specific	647	9	58.5738582222262	0.3154	0.315	0.5908	0.3294	0.7793	0.48	1.03475623242767e-06	0.0758910627073798	5.87331336174001e-10
chr16	5494413	5495851	Chimp_hyper_ND	Human-specific	1439	7	56.2804145173638	0.7562	0.8326	0.9155	0.6781	0.8744	0.7351	1.83124748145078e-38	0.235695580602371	1.85261701293922e-36
chr1	158969260	158970048	Chimp_hyper_ND	Human-specific	789	9	56.1652817718198	0.1287	0.0193	0.4749	0.0596	0.7286	0.3903	7.34829462008013e-11	0.000398901662633613	2.15281452377097e-07
chr5	123150584	123151061	Chimp_hyper_ND	Human-specific	478	7	55.8094613927224	0.2359	0.3568	0.714	0.4049	0.7498	0.2437	3.84745579063378e-31	8.21373597269615e-13	2.5047064057236e-81
