seqnames	pos
chr10	92896
chr10	93878
chr10	99354
chr10	99854
chr10	99915
chr10	111124
chr10	111128
chr10	111130
chr10	111132
chr10	111137
chr10	111138
chr10	111143
chr10	111151
chr10	111159
chr10	111163
chr10	111173
chr10	111182
chr10	111187
chr10	111193
chr10	111213
chr10	111228
chr10	111258
chr10	111264
chr10	111275
chr10	111287
chr10	111297
chr10	111303
chr10	111305
chr10	111307
chr10	111313
chr10	111318
chr10	111321
chr10	111323
chr10	111329
chr10	111331
chr10	111353
chr10	111376
chr10	111378
chr10	114578
chr10	114589
chr10	114634
chr10	114652
chr10	114655
chr10	114657
chr10	114659
chr10	114683
chr10	114687
chr10	114695
chr10	114698
chr10	114705
chr10	114737
chr10	114775
chr10	114784
chr10	114788
chr10	114794
chr10	114834
chr10	114842
chr10	114845
chr10	114866
chr10	114867
chr10	114884
chr10	114897
chr10	114909
chr10	114915
chr10	114924
chr10	114935
chr10	114954
chr10	114958
chr10	114970
chr10	114987
chr10	115010
chr10	115013
chr10	115030
chr10	115545
chr10	115559
chr10	115561
chr10	115582
chr10	115593
chr10	115596
chr10	115614
chr10	115617
chr10	115650
chr10	115655
chr10	115660
chr10	115663
chr10	115671
chr10	115771
chr10	115790
chr10	115800
chr10	115809
chr10	115974
chr10	115979
chr10	115988
chr10	115990
chr10	115994
chr10	116001
chr10	116007
chr10	116013
chr10	116015
chr10	116018
chr10	116020
chr10	116022
chr10	116036
chr10	116038
chr10	116042
chr10	116050
chr10	116052
chr10	116054
chr10	116059
chr10	116064
chr10	116066
chr10	116067
chr10	116075
chr10	117893
chr10	117901
chr10	117915
chr10	117945
chr10	117947
chr10	117955
chr10	117991
chr10	117994
chr10	118011
chr10	118035
chr10	118037
chr10	118049
chr10	118055
chr10	118081
chr10	118089
chr10	118096
chr10	118105
chr10	118129
chr10	118146
chr10	118230
chr10	118242
chr10	118248
chr10	118278
chr10	118327
chr10	118344
chr10	118368
chr10	118382
chr10	118403
chr10	118438
chr10	118457
chr10	118459
chr10	118462
chr10	118467
chr10	118489
chr10	118521
chr10	118529
chr10	118546
chr10	118572
chr10	118588
chr10	118603
chr10	118653
chr10	118661
chr10	118677
chr10	118711
chr10	118732
chr10	118751
chr10	118753
chr10	118756
chr10	118758
chr10	118761
chr10	118773
chr10	118781
chr10	118783
chr10	118786
chr10	118834
chr10	118836
chr10	118839
chr10	118845
chr10	118857
chr10	118860
chr10	118862
chr10	118864
chr10	118876
chr10	118904
chr10	118905
chr10	118907
chr10	118937
chr10	118967
chr10	118969
chr10	118977
chr10	118990
chr10	119010
chr10	119012
chr10	119026
chr10	119033
chr10	119041
chr10	119045
chr10	119050
chr10	119058
chr10	119060
chr10	119070
chr10	119078
chr10	119099
chr10	119102
chr10	119107
chr10	119110
chr10	119112
chr10	119116
chr10	119125
chr10	119127
chr10	119153
chr10	119164
chr10	119173
chr10	119185
chr10	119192
chr10	119203
chr10	119205
chr10	119207
chr10	119208
chr10	119212
chr10	119217
chr10	119219
chr10	119220
chr10	119231
chr10	119242
chr10	119253
chr10	119295
chr10	119299
chr10	119323
chr10	119330
chr10	119333
chr10	119343
chr10	119352
chr10	119354
chr10	119356
chr10	119368
chr10	119381
chr10	119405
chr10	119460
chr10	119484
chr10	119584
chr10	120316
chr10	120346
chr10	120370
chr10	120395
chr10	120412
chr10	120437
chr10	120514
chr10	120531
chr10	120533
chr10	120535
chr10	120547
chr10	121535
chr10	121539
chr10	121551
chr10	121554
chr10	121556
chr10	121559
chr10	121561
chr10	121564
chr10	121636
chr10	121704
chr10	121709
chr10	121710
chr10	121712
chr10	121714
chr10	121719
chr10	121721
chr10	121730
chr10	121740
chr10	121754
chr10	121759
chr10	121828
chr10	121831
chr10	121900
chr10	122043
chr10	122156
chr10	122163
chr10	122983
chr10	122988
chr10	122993
chr10	123145
chr10	123188
chr10	123195
chr10	123198
chr10	123208
chr10	123213
chr10	123220
chr10	123255
chr10	123276
chr10	123338
chr10	123344
chr10	123362
chr10	123375
chr10	123390
chr10	123403
chr10	123413
chr10	123423
chr10	123430
chr10	123434
chr10	123441
chr10	123446
chr10	123521
chr10	123525
chr10	123527
chr10	123534
chr10	123557
chr10	123564
chr10	123607
chr10	123631
chr10	123647
chr10	123650
chr10	123651
chr10	123656
chr10	123658
chr10	123660
chr10	123665
chr10	123680
chr10	123685
chr10	123695
chr10	123698
chr10	123700
chr10	123702
chr10	123704
chr10	123710
chr10	123713
chr10	123716
chr10	123748
chr10	123783
chr10	123809
chr10	123813
chr10	123829
chr10	123833
chr10	123845
chr10	123850
chr10	123861
chr10	123876
chr10	123887
chr10	123901
chr10	123906
chr10	123930
chr10	123958
chr10	123973
chr10	123980
chr10	123985
chr10	123999
chr10	124002
chr10	124004
chr10	124015
chr10	124021
chr10	124028
chr10	124033
chr10	124048
chr10	124054
chr10	124056
chr10	124083
chr10	124087
chr10	124089
chr10	124104
chr10	124106
chr10	124117
chr10	124122
chr10	124130
chr10	124132
chr10	124134
chr10	124157
chr10	124168
