chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_celltype_chimp	Bonferroni_celltype_human	Bonferroni_celltype_macaq
chr10	11060843	11099493	OD_hyper	OD_hyper	38651	264	5223.3620348058	0.3726	0.849	0.3927	0.8665	0.3626	0.8939	4.03507586817007e-47	1.43338931300667e-145	0
chr8	9765025	9777938	OD_hyper	OD_hyper	12914	116	2911.04866805635	0.1871	0.7812	0.1987	0.8177	0.1352	0.7569	0	0	0
chr10	11208185	11224140	OD_hyper	OD_hyper	15956	142	2644.39389920254	0.3765	0.8176	0.3891	0.8599	0.3941	0.8956	2.97551250215975e-42	1.27739664839984e-82	5.79384006828976e-262
chr8	65289292	65294648	OD_hyper	OD_hyper	5357	86	2583.30594251794	0.0501	0.6537	0.0876	0.7978	0.0389	0.6798	3.84606795765261e-153	1.95062237306498e-222	0
chr10	11185649	11204028	OD_hyper	OD_hyper	18380	143	2568.25568988804	0.4371	0.8818	0.5006	0.8896	0.4026	0.8807	4.22235687237306e-32	2.40541597115297e-108	9.7160200689329e-297
chr10	11288048	11302212	OD_hyper	OD_hyper	14165	142	2563.10526032646	0.4933	0.9104	0.5168	0.9164	0.4492	0.9217	5.13683236218363e-33	2.70097827316732e-140	2.56820148407426e-222
chr5	88054574	88075699	OD_hyper	OD_hyper	21126	131	2377.02423975245	0.4912	0.8712	0.526	0.8881	0.3939	0.872	0	0	0
chr12	14115787	14133359	OD_hyper	OD_hyper	17573	99	2097.86434352546	0.246	0.7564	0.24	0.7146	0.2845	0.7724	1.48636698424423e-290	0	0
chr12	90057767	90084380	OD_hyper	OD_hyper	26614	125	2086.46838936973	0.5793	0.9177	0.6008	0.908	0.5464	0.864	1.62281949609672e-28	1.66812108599398e-209	4.48050374639294e-120
chr4	153236666	153259287	OD_hyper	OD_hyper	22622	91	2067.6120992125	0.4268	0.9339	0.4911	0.9348	0.4657	0.9194	2.27310039397256e-44	9.14701807180986e-269	0
chr10	11240242	11252415	OD_hyper	OD_hyper	12174	109	1874.78095026207	0.3948	0.8271	0.4304	0.8516	0.4236	0.8812	9.87186197706192e-28	1.59031507657029e-92	4.06851151143982e-243
chr11	64373644	64414032	OD_hyper	OD_hyper	40389	110	1729.99826467675	0.424	0.7127	0.443	0.7833	0.4106	0.6399	6.22864521736811e-36	1.12306301412532e-128	7.50427400530245e-71
chr10	11169028	11184340	OD_hyper	OD_hyper	15313	100	1728.20164504865	0.52	0.9076	0.5611	0.9094	0.5207	0.937	7.99948292722282e-45	1.88298270570018e-164	0
chr1	9873953	9882747	OD_hyper	OD_hyper	8795	95	1715.03895769806	0.4473	0.8597	0.4554	0.8641	0.6348	0.8607	3.01096143252896e-48	1.57065068999109e-150	3.73675455407112e-114
