chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr9	36778622	36780477	Chimp_hyper_ND	Chimp-specific	1856	18	141.263771163865	0.5542	0.5422	0.8621	0.3326	0.6362	0.6984	2.20323842045544e-54	8.57240148289016e-56	0.00759716179644791
chr17	75652976	75654585	Chimp_hyper_ND	Chimp-specific	1610	16	123.941674326924	0.2504	0.3982	0.6015	0.2749	0.1781	0.4862	2.13385838281696e-40	1.42736817513757e-73	3.67477509953697e-10
chr6	137652137	137655405	Chimp_hyper_ND	Chimp-specific	3269	17	98.47512851817	0.6427	0.6662	0.9238	0.694	0.6618	0.5554	5.84924626360982e-29	2.65018084997279e-12	6.87726189584974e-07
chr2	120771455	120772322	Chimp_hyper_ND	Chimp-specific	868	13	92.3073117396432	0.437	0.318	0.5729	0.158	0.4817	0.341	2.05916962509423e-25	8.17954668484567e-17	0.0515327504841873
chr9	36892257	36894057	Chimp_hyper_ND	Chimp-specific	1801	13	91.742528605005	0.7157	0.7199	0.9487	0.689	0.6983	0.7701	4.9776314134295e-38	8.7116594679298e-51	2.62327529621287e-07
chr4	83704723	83707149	Chimp_hyper_ND	Chimp-specific	2427	18	89.1676884463389	0.4453	0.2822	0.7028	0.2192	0.4972	0.4203	1.94566341457055e-22	1.09403541315273e-29	0.133996062474438
chr15	50193906	50195753	Chimp_hyper_ND	Chimp-specific	1848	11	85.6571726538222	0.3324	0.3134	0.8458	0.3186	0.4609	0.5645	2.81943343271552e-42	6.6457746681584e-25	0.0714768664897305
chr6	28511377	28512103	Chimp_hyper_ND	Chimp-specific	727	12	85.5318555539898	0.342	0.2977	0.5674	0.1821	0.0638	0.0831	2.70576330221055e-24	2.25274351058317e-41	0.0275079343250114
chr17	34995263	34996821	Chimp_hyper_ND	Chimp-specific	1559	16	82.7748073208633	0.6606	0.7816	0.9369	0.8036	0.669	0.673	1.30643058128784e-19	1.41159065397444e-12	0.000260021887703688
chr15	82169934	82170446	Chimp_hyper_ND	Chimp-specific	513	11	73.8010004580791	0.1155	0.0366	0.4952	0.0758	0.1148	0.0219	5.98868279618912e-16	4.98897018194152e-16	0.399149717415638
chr14	60431848	60432212	Chimp_hyper_ND	Chimp-specific	365	7	68.6026241465429	0.0914	0.0121	0.9211	0.283	0.3125	0.2195	2.16136991712836e-27	7.81510888682553e-39	0.00462841654602555
chr6	138805410	138806508	Chimp_hyper_ND	Chimp-specific	1099	11	68.5576108328102	0.3725	0.1691	0.7575	0.1902	0.3674	0.1338	1.48116058931111e-25	4.19436859298827e-16	0.0145090546731582
chr7	149112512	149113234	Chimp_hyper_ND	Chimp-specific	723	14	64.8164670995896	0.3977	0.5296	0.7383	0.5375	0.2436	0.3057	2.05037363016092e-37	2.49132272803837e-16	0.162362460973694
chr4	99276670	99277323	Chimp_hyper_ND	Chimp-specific	654	9	64.1172123025415	0.6772	0.6644	0.9276	0.6662	0.5256	0.4072	7.49993802057133e-46	8.23289234996485e-11	1.28042359662117e-05
chr2	47572111	47572617	Chimp_hyper_ND	Chimp-specific	507	10	61.9003807488034	0.3666	0.0053	0.8126	0.05	0.3724	0.0531	1.80678181644055e-11	4.30748723443482e-27	6.32511894207861e-05
chr12	128865964	128866834	Chimp_hyper_ND	Chimp-specific	871	13	61.8410172089377	0.3477	0.0375	0.6551	0.0549	0.158	0.0046	9.65146924784987e-11	3.49357587364442e-19	0.0677050594181602
chr2	115300843	115301878	Chimp_hyper_ND	Chimp-specific	1036	9	61.2158078838822	0.4566	0.1541	0.7942	0.2084	0.5701	0.4517	1.87677891545437e-13	6.12419830740117e-27	0.000158384030996883
chr16	65430758	65431637	Chimp_hyper_ND	Chimp-specific	880	9	60.8922232680643	0.6511	0.6424	0.887	0.5802	0.4496	0.4555	8.80598222082e-23	5.10813542460383e-24	0.336174829800326
chr13	71879204	71880270	Chimp_hyper_ND	Chimp-specific	1067	10	60.680362106589	0.7946	0.8509	0.9511	0.8164	0.78	0.748	3.05213422791624e-21	1.11535870484835e-06	0.000870089799786801
chr22	34983709	34984327	Chimp_hyper_ND	Chimp-specific	619	8	60.2397836911745	0.4851	0.1776	0.7993	0.1331	0.6401	0.2882	2.03966676003541e-33	1.24611381879992e-15	0.0834870734381971
chr4	2764464	2766635	Chimp_hyper_ND	Chimp-specific	2172	11	60.1935938381439	0.4632	0.4026	0.9151	0.54	0.2526	0.2074	1.85642112562834e-13	2.43092360347146e-12	0.970593313551857
chr6	26017331	26017619	Chimp_hyper_ND	Chimp-specific	289	12	59.4200473845337	0.2017	0.2767	0.5326	0.3318	0.2107	0.2606	1.13758220723387e-13	7.27650652101743e-15	0.449222986117181
chr5	89909481	89910270	Chimp_hyper_ND	Chimp-specific	790	7	59.1152994386413	0.4282	0.5163	0.8485	0.4681	0.5299	0.4358	4.28324867720668e-28	3.80607449905402e-11	2.34185689067929e-07
chr1	234749041	234749468	Chimp_hyper_ND	Chimp-specific	428	9	57.8069134861989	0.3665	0.0863	0.7099	0.1084	0.3528	0.1787	1.11587526968933e-25	2.46933649505079e-32	1.20420977331591e-08
chr21	17566717	17567599	Chimp_hyper_ND	Chimp-specific	883	12	56.8425592945494	0.6648	0.0135	0.8489	0.01	0.5686	0.0278	5.409447820736e-08	1.29209794878145e-13	0.000107713844606458
