chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_species_HvsC	Bonferroni_species_MvsC	Bonferroni_species_MvsH
chr16	86229698	86233061	human_hypo	Chimp-specific	3364	57	-500.266034254867	0.6103	0.5062	0.8627	0.7343	0.6687	0.586	4.08843460127187e-153	4.62929901349924e-30	3.13591422620107e-10
chr6	27831536	27832801	human_hypo	Chimp-specific	1266	39	-397.955100368033	0.1749	0.2836	0.5208	0.6002	0.0748	0.1113	6.92720732007585e-55	5.4185560925586e-98	1.18998973497981e-15
chr6	28698531	28702462	human_hypo	Chimp-specific	3932	52	-387.621919331281	0.3669	0.3824	0.7111	0.7013	0.361	0.3628	1.03100178700998e-45	1.99565367802056e-79	0.255440021659316
chr5	43065304	43066249	human_hypo	Chimp-specific	946	26	-362.531137566834	0.0072	0.0114	0.3183	0.3065	0.0654	0.0344	7.32490863402467e-86	2.77606963509342e-31	2.66566005698287e-17
chr17	8278180	8279584	human_hypo	Chimp-specific	1405	31	-360.71120442192	0.3521	0.5205	0.7838	0.8081	0.337	0.3341	6.94633188178375e-86	3.01055242448134e-156	0.00100888305233404
chr6	27569167	27571093	human_hypo	Chimp-specific	1927	44	-334.950280730229	0.2978	0.2977	0.6136	0.6032	0.172	0.1756	1.32201614586818e-20	8.31906937378568e-44	4.98554410832685e-08
chr17	37355804	37356083	human_hypo	Chimp-specific	280	12	-301.698026968021	0.1421	0.1208	0.6809	0.6591	0.2352	0.1936	0	9.98865391750634e-89	8.36467131626004e-05
chr3	19987495	19988132	human_hypo	Chimp-specific	638	21	-287.95929467721	0.3259	0.5094	0.7512	0.8324	0.4552	0.4772	4.6424386361689e-64	4.15155291191736e-61	0.298224477269171
chr17	45400353	45402255	human_hypo	Chimp-specific	1903	24	-254.944802803948	0.1084	0.1153	0.6374	0.6502	0.0715	0.0655	4.64324592027598e-118	3.27837785630991e-161	0.0997280114312071
chr11	69515859	69517735	human_hypo	Chimp-specific	1877	28	-253.279725386968	0.2482	0.2114	0.6984	0.7163	0.3649	0.4158	4.76089800244436e-224	4.77858341963836e-43	1.59143760806254e-24
chr7	93634090	93634985	human_hypo	Chimp-specific	896	16	-242.331801025943	0.2018	0.2064	0.5785	0.567	0.1673	0.1305	3.6359900786805e-120	8.09091003758993e-97	0.0017285866143106
chr11	9593746	9594450	human_hypo	Chimp-specific	705	33	-240.662101899706	0.3917	0.3682	0.6476	0.6338	0.1562	0.0808	2.52266928199213e-23	3.46741177088419e-282	4.46869410402191e-32
chr19	47538531	47539585	human_hypo	Chimp-specific	1055	24	-233.84531167643	0.0439	0.0349	0.3148	0.3105	0.0839	0.0901	6.34731557277519e-141	1.1417059172847e-36	1.16353287142757e-15
chr16	48656284	48657048	human_hypo	Chimp-specific	765	17	-230.633214359555	0.377	0.351	0.8458	0.8	0.3194	0.2614	1.00813124542404e-180	7.46715857622741e-250	5.79603571319681e-16
chr1	32913668	32914324	human_hypo	Chimp-specific	657	12	-230.025508896804	0.2842	0.2555	0.8406	0.8088	0.4567	0.4942	0	1.30560830692191e-48	1.9465270901741e-20
chr2	70311160	70313297	human_hypo	Chimp-specific	2138	24	-227.408700384309	0.3099	0.3576	0.6614	0.5834	0.415	0.3857	1.40327425167181e-55	2.13618561492047e-46	0.000194218329148785
chr22	17847964	17849286	human_hypo	Chimp-specific	1323	33	-225.197193865024	0.6392	0.526	0.8157	0.7622	0.721	0.6222	1.07784575425649e-34	1.40059904796276e-21	5.37906613893938e-07
chr12	81106412	81108512	human_hypo	Chimp-specific	2101	19	-217.343699879642	0.4535	0.2374	0.8356	0.5727	0.3392	0.2983	5.92186016033583e-125	1.45050358782455e-51	0.485341044308824
chr17	56593624	56596910	human_hypo	Chimp-specific	3287	19	-213.743342128676	0.0674	0.0657	0.6352	0.5393	0.1413	0.1324	0	1.06623526589107e-84	6.09546637599232e-17
chr6	166263231	166264458	human_hypo	Chimp-specific	1228	27	-201.694840809768	0.2456	0.3527	0.4718	0.6044	0.2613	0.4582	1.98398290091448e-70	9.38513454550487e-15	6.10783279113555e-11
chr2	239695495	239696339	human_hypo	Chimp-specific	845	28	-199.898487779458	0.6003	0.7451	0.8465	0.9377	0.4992	0.7264	6.2828181750567e-19	1.58369755629321e-63	0.0399774377537096
chr6	27469988	27470616	human_hypo	Chimp-specific	629	18	-192.34453668861	0.1021	0.1318	0.3854	0.4138	0.1327	0.1693	7.43997867469021e-66	1.92726117489554e-48	8.35257324427114e-06
chr18	72263802	72264408	human_hypo	Chimp-specific	607	15	-190.159976149488	0.4314	0.4135	0.6645	0.6159	0.3649	0.2778	1.20460230831549e-08	1.72496522764232e-57	1.60114108922604e-25
chr5	2989645	2990289	human_hypo	Chimp-specific	645	17	-188.713662186733	0.4841	0.2198	0.7426	0.5232	0.5297	0.0586	1.57704513015352e-83	4.80098286293036e-34	0.00079172697113629
chr19	38806111	38807193	human_hypo	Chimp-specific	1083	12	-185.508360193839	0.009	0.0222	0.426	0.448	0.0167	0.0228	0	1.15332569219253e-268	0.0216445850585793
chr1	24477332	24478379	human_hypo	Chimp-specific	1048	22	-183.775125158942	0.3899	0.2245	0.706	0.3778	0.129	0.0735	1.24973982536322e-38	3.28318668627216e-65	5.27830850033947e-26
chr20	1484272	1484613	human_hypo	Chimp-specific	342	6	-179.740004428672	0.0479	0.0203	0.8117	0.7469	0.111	0.0592	0	0	1.35763419225259e-19
chr6	42712264	42716703	human_hypo	Chimp-specific	4440	21	-173.258484426096	0.0747	0.123	0.3064	0.3224	0.0151	0.0226	9.2852114336727e-78	0	3.34937297792147e-52
chr6	721919	722491	human_hypo	Chimp-specific	573	10	-170.520166681225	0.3396	0.3094	0.823	0.76	0.4492	0.1419	3.08546640241154e-135	3.3839201978932e-49	0.337248301598678
chr8	126012193	126015120	human_hypo	Chimp-specific	2928	27	-168.355242841529	0.3397	0.395	0.5	0.6497	0.1706	0.1724	7.80836303234594e-20	2.27473505168957e-53	9.29451731539476e-28
chr12	16033955	16034833	human_hypo	Chimp-specific	879	21	-165.835939157635	0.3921	0.4334	0.6256	0.5743	0.2699	0.1408	6.93323618970059e-37	1.1826765878502e-48	1.17291496638441e-11
chr1	24103995	24104344	human_hypo	Chimp-specific	350	19	-164.708420934693	0.4949	0.5401	0.792	0.7926	0.5527	0.587	1.90943165159583e-51	2.96455662050644e-19	0.123677535231267
chr6	28950259	28950973	human_hypo	Chimp-specific	715	15	-162.403112344747	0.0967	0.1573	0.2788	0.5212	0.0554	0.1566	1.54844799306338e-36	6.64193641074051e-44	0.133929714260078
chr4	187111849	187114912	human_hypo	Chimp-specific	3064	17	-162.349681505395	0.0277	0.0302	0.5447	0.485	0.0844	0.0883	0	1.12949434347005e-37	3.3254986351874e-30
chr17	34256606	34258076	human_hypo	Chimp-specific	1471	17	-162.307153391565	0.1399	0.1881	0.503	0.6781	0.1475	0.1661	2.17504935050467e-38	3.33008620429606e-27	0.352370015007422
chr17	35285044	35287399	human_hypo	Chimp-specific	2356	30	-158.020639347278	0.6838	0.3707	0.8192	0.5683	0.4911	0.3084	6.50254211791034e-23	3.26415204562835e-77	2.70745130086813e-17
chr14	36967715	36972898	human_hypo	Chimp-specific	5184	18	-157.440612303856	0.5963	0.4823	0.8006	0.7784	0.6251	0.488	2.79019054619325e-58	4.34728942702059e-51	0.544659618470768
chr11	128455276	128458153	human_hypo	Chimp-specific	2878	20	-157.327150333467	0.5447	0.3673	0.8469	0.6512	0.5208	0.1936	2.90119845973099e-105	2.83332091116602e-87	4.60488748968686e-08
chr1	154579113	154580001	human_hypo	Chimp-specific	889	15	-155.957421706508	0.3018	0.2154	0.6224	0.4465	0.3979	0.3172	3.57806849132916e-97	1.23884800552627e-26	2.99065784176839e-13
chr9	135361871	135362165	human_hypo	Chimp-specific	295	13	-152.557532840145	0.4546	0.5652	0.8632	0.8678	0.1119	0.1943	6.03331461714607e-71	5.96022455541079e-254	6.35629329285625e-49
chr10	111214599	111217453	human_hypo	Chimp-specific	2855	14	-151.807178572618	0.142	0.0979	0.8604	0.7262	0.2638	0.2398	0	3.48953022300817e-114	1.03425870514267e-60
chr11	92930093	92930506	human_hypo	Chimp-specific	414	11	-151.133991038855	0.1049	0.0992	0.3471	0.4353	0.1365	0.0917	4.92091909623726e-106	7.27980023454547e-53	0.658065613776535
chr18	57362488	57363538	human_hypo	Chimp-specific	1051	17	-148.520241452885	0.6718	0.5275	0.845	0.7673	0.6399	0.5052	4.10424563288494e-42	3.29187308258935e-15	0.0845989949592186
chr6	106773949	106774565	human_hypo	Chimp-specific	617	25	-146.827686202745	0.726	0.7657	0.8738	0.8842	0.6148	0.7192	2.66901100479997e-19	3.00934110023462e-27	0.000522813263126644
chr8	20053924	20054367	human_hypo	Chimp-specific	444	15	-146.569730532963	0.2961	0.3508	0.609	0.6889	0.4434	0.5153	1.87659028261622e-33	1.9633501605195e-16	1.14407313620122e-10
chr1	11028130	11028763	human_hypo	Chimp-specific	634	15	-145.85231523649	0.2822	0.5733	0.7081	0.8172	0.3055	0.4789	5.53596403259257e-54	4.3053150353105e-74	0.199756167491964
chr2	70521450	70521728	human_hypo	Chimp-specific	279	12	-145.317928766547	0.2464	0.281	0.611	0.6058	0.0895	0.1389	5.96979250658455e-81	4.01027147448121e-154	1.26535622665099e-14
chr7	4295909	4297353	human_hypo	Chimp-specific	1445	20	-145.105083509282	0.2868	0.5276	0.4991	0.8199	0.3576	0.3757	1.02061051174469e-45	1.96949774560267e-17	0.0733667858769369
chr18	45193382	45194203	human_hypo	Chimp-specific	822	18	-144.795297546987	0.6942	0.5729	0.9087	0.8238	0.7682	0.6457	7.41022074931793e-120	1.0136860294973e-34	4.48471789844764e-06
chr10	126792886	126793559	human_hypo	Chimp-specific	674	15	-143.650065720417	0.6745	0.4095	0.8467	0.7528	0.6417	0.2457	7.8568056950325e-54	1.77031194979705e-28	1.74643343675845e-05
chr5	115146014	115150808	human_hypo	Chimp-specific	4795	26	-142.314948356551	0.5877	0.6828	0.7676	0.7874	0.6459	0.6285	2.24702558383327e-24	1.5405816890713e-32	0.430691720219464
chr14	97877297	97879294	human_hypo	Chimp-specific	1998	24	-141.576977998383	0.4121	0.5012	0.5429	0.7186	0.3887	0.5397	6.9880280651216e-19	6.01346239895958e-13	0.715570665198112
chr2	70140786	70141238	human_hypo	Chimp-specific	453	14	-141.271957124469	0.518	0.4249	0.7496	0.6951	0.3887	0.2945	4.35284994333517e-61	5.87856443654516e-86	1.07366429761803e-21
chr16	65071632	65072547	human_hypo	Chimp-specific	916	12	-140.769143702104	0.3874	0.23	0.7699	0.6517	0.4109	0.2637	2.09578839123185e-78	3.90821059171569e-45	0.00163341462010884
chr17	47643410	47646036	human_hypo	Chimp-specific	2627	23	-139.086330892049	0.2719	0.2968	0.5211	0.6782	0.2518	0.3474	6.78843702531152e-50	7.96563419707696e-35	3.81457464538679e-05
chr2	105653620	105654005	human_hypo	Chimp-specific	386	10	-138.262007275487	0.2425	0.2492	0.4466	0.479	0.0563	0.0867	1.22473439407197e-68	1.63138728846071e-211	1.0758535366194e-97
chr20	62541012	62541271	human_hypo	Chimp-specific	260	8	-138.068382441177	0.2596	0.2246	0.9377	0.6575	0.4836	0.4012	3.13539672554847e-64	1.01684184324355e-34	6.77463408943268e-20
chr2	128847653	128848328	human_hypo	Chimp-specific	676	9	-137.433958656907	0.3086	0.4633	0.5947	0.7674	0.1681	0.3839	7.98758962805281e-15	1.31858250944121e-47	7.69955779336412e-17
chr8	42949259	42949601	human_hypo	Chimp-specific	343	17	-135.907735210446	0.0115	0.0639	0.1378	0.2766	0.0129	0.0273	1.95606834677589e-48	1.59319576900051e-35	0.00133749515999286
chr3	139256093	139260099	human_hypo	Chimp-specific	4007	23	-132.683165366294	0.2316	0.1608	0.653	0.523	0.4218	0.2323	4.80266684286288e-294	3.41412129135071e-32	6.87060597530438e-14
chr16	46823240	46825015	human_hypo	Chimp-specific	1776	13	-131.636370851601	0.1286	0.2475	0.7652	0.8769	0.1492	0.2761	4.7795467613984e-230	1.00541652992269e-126	6.52184853096072e-05
chr11	111750385	111750640	human_hypo	Chimp-specific	256	6	-129.034446761911	0.3285	0.3974	0.9651	0.9246	0.0254	0.057	7.21280601398335e-265	0	2.42825072561945e-258
chr10	130841003	130842539	human_hypo	Chimp-specific	1537	17	-128.660419227278	0.6593	0.3861	0.8544	0.6781	0.6071	0.4922	2.47625875881644e-47	9.64497259413039e-32	0.350313517089765
chr7	3095620	3097056	human_hypo	Chimp-specific	1437	23	-128.318639332679	0.8286	0.5483	0.9414	0.8403	0.8139	0.5464	7.68539067660647e-43	6.57726549379078e-46	0.0563767997146342
chr8	86133455	86134648	human_hypo	Chimp-specific	1194	10	-125.103809279377	0.4423	0.3841	0.7261	0.6686	0.5554	0.4578	3.89751727893651e-104	4.04909502521528e-36	1.73467170506307e-17
chr8	62623210	62625399	human_hypo	Chimp-specific	2190	20	-121.233170424881	0.3974	0.4878	0.5405	0.6128	0.4456	0.3474	1.68536833352553e-09	6.45995230286513e-12	0.584064149406125
chr8	23267525	23268702	human_hypo	Chimp-specific	1178	15	-120.147585782051	0.3939	0.4419	0.6465	0.6196	0.5008	0.5271	1.093818123953e-68	3.51743785830851e-34	1.94311636378455e-10
chr6	26313680	26314556	human_hypo	Chimp-specific	877	19	-119.220275674507	0.1951	0.3007	0.4172	0.4638	0.0629	0.0925	1.25693897597902e-18	1.20287138505889e-248	2.03409360697253e-27
chr4	111719932	111720590	human_hypo	Chimp-specific	659	16	-119.083195622794	0.6409	0.3945	0.8228	0.5762	0.4651	0.1998	4.63151364552819e-87	3.26624116089079e-97	1.40338997533587e-25
chr6	27485680	27486539	human_hypo	Chimp-specific	860	13	-118.685775869809	0.3033	0.3776	0.6877	0.6416	0.0305	0.1308	2.20421811136437e-24	6.12048086064334e-91	1.06816999106074e-42
chr20	934229	934989	human_hypo	Chimp-specific	761	9	-117.883563735213	0.6198	0.5158	0.9518	0.9383	0.7365	0.5475	1.69939827343763e-178	1.25720742496196e-67	4.49158204557562e-06
