chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr1	223839718	223841041	Human_hyper_ND	Chimp-specific	1324	24	-115.182424533645	0.5373	0.2293	0.2094	0.1974	0.7013	0.485	3.43817698887197e-16	2.51895765722281e-08	0.0452940470479655
chr8	20433384	20434609	Human_hyper_ND	Chimp-specific	1226	19	-109.728191169699	0.8891	0.6719	0.7015	0.8263	0.9003	0.6828	1.111698734471e-40	2.37698739953056e-28	0.284916416581243
chr5	141412334	141412886	Human_hyper_ND	Chimp-specific	553	12	-105.370739898601	0.8697	0.5919	0.4512	0.6729	0.8228	0.5762	1.21376440812996e-21	8.63965616362472e-20	0.593008934415853
chr10	132183674	132185005	Human_hyper_ND	Chimp-specific	1332	8	-90.5551559063836	0.8061	0.28	0.4844	0.5477	0.8449	0.5047	1.69648091375699e-48	4.01192386232779e-30	6.65015801448421e-13
chr8	8717916	8718828	Human_hyper_ND	Chimp-specific	913	13	-88.6178392910657	0.7275	0.4035	0.394	0.4524	0.5897	0.2672	2.82384743556043e-24	3.84245376689407e-29	0.438210967707274
chr16	23290589	23291705	Human_hyper_ND	Chimp-specific	1117	15	-85.2101813457682	0.754	0.2773	0.5234	0.3255	0.8123	0.4353	9.49024363872604e-18	1.86934050293266e-14	0.0021092345419376
chr3	170138144	170138485	Human_hyper_ND	Chimp-specific	342	12	-81.3449045907974	0.6993	0.1048	0.2419	0.0612	0.89	0.0672	2.07476639653691e-12	8.66791103444973e-39	1.93078922769916e-06
chr13	31425498	31427252	Human_hyper_ND	Chimp-specific	1755	11	-74.8804256853575	0.8674	0.6606	0.6292	0.7452	0.7999	0.6235	6.76234452259498e-41	3.83615491403759e-38	0.359902530813297
chr7	21084534	21085323	Human_hyper_ND	Chimp-specific	790	14	-68.1347091821249	0.6619	0.2381	0.4804	0.2893	0.8266	0.3581	3.77336290460837e-14	7.91098036732199e-30	0.0494590852330917
chr3	76747834	76749391	Human_hyper_ND	Chimp-specific	1558	10	-63.2061966035517	0.7786	0.5742	0.5998	0.7428	0.9019	0.7239	8.58855005717047e-21	5.96995236076363e-22	0.634500812236485
chr4	130017304	130017557	Human_hyper_ND	Chimp-specific	254	10	-62.847765915777	0.2767	0.0534	0.0142	0.0036	0.1907	0.0247	4.4329354793092e-16	0.029363983115961	0.692190475229671
chr11	124733581	124734750	Human_hyper_ND	Chimp-specific	1170	15	-62.4479501717262	0.5104	0.184	0.3388	0.3316	0.5906	0.2669	2.05365570106223e-22	1.40028620436248e-17	0.583581091144907
chr20	17609465	17612024	Human_hyper_ND	Chimp-specific	2560	9	-61.2679548237609	0.9465	0.7147	0.7443	0.8642	0.9081	0.7815	6.19035582208712e-68	4.07641415843987e-27	4.87007302962183e-18
chr2	177895029	177896014	Human_hyper_ND	Chimp-specific	986	11	-60.5611897621851	0.7812	0.4368	0.4155	0.3601	0.8354	0.4193	8.51113914066541e-24	6.53997097491528e-44	0.00317414678982739
chr16	74777019	74778104	Human_hyper_ND	Chimp-specific	1086	10	-58.5277347408423	0.8646	0.3976	0.2559	0.1405	0.8781	0.4635	2.12328462131698e-28	8.67335196755248e-20	0.00998968369480054
chr12	51418022	51418441	Human_hyper_ND	Chimp-specific	420	11	-53.9113973810465	0.507	0.0691	0.1519	0.0176	0.6308	0.1285	3.16938896635823e-08	1.15366081360804e-07	0.934014119873678
chr8	61613836	61615798	Human_hyper_ND	Chimp-specific	1963	8	-53.1718842431498	0.908	0.4239	0.6103	0.4436	0.9641	0.7216	9.07196057074847e-43	6.77760213970686e-31	5.45196233497207e-14
chr1	109418889	109419111	Human_hyper_ND	Chimp-specific	223	9	-49.7497762650682	0.7058	0.055	0.3022	0.0221	0.7679	0.0088	5.44191417694399e-07	1.23099077884027e-14	0.000191463236395896
chr14	61969958	61970527	Human_hyper_ND	Chimp-specific	570	8	-47.8712440292038	0.8745	0.4059	0.4927	0.4417	0.8765	0.3342	4.10491071987341e-19	1.12066667078356e-27	0.567841537044857
chr2	43231623	43232642	Human_hyper_ND	Chimp-specific	1020	8	-47.2558083707523	0.9411	0.5237	0.6692	0.559	0.8848	0.4415	9.54896947925211e-17	3.67011267840214e-12	0.433871408406742
chr11	132849086	132850584	Human_hyper_ND	Chimp-specific	1499	10	-46.6887831843811	0.8213	0.6216	0.6219	0.6778	0.918	0.6809	8.4762291120799e-10	5.98418354261942e-12	0.101059710262663
chr20	31753099	31753983	Human_hyper_ND	Chimp-specific	885	9	-44.4094530463174	0.8618	0.6476	0.7277	0.7111	0.9404	0.8096	2.84613198976554e-08	1.26170690944987e-06	0.17452565557512
chr1	162357350	162357848	Human_hyper_ND	Chimp-specific	499	11	-43.9914132309546	0.8821	0.7429	0.665	0.6973	0.8486	0.6283	6.34384232217239e-06	1.5784279135247e-06	0.0304588814536896
chr13	42213880	42215268	Human_hyper_ND	Chimp-specific	1389	8	-43.9310027548666	0.8278	0.4185	0.6189	0.5094	0.9029	0.4055	1.27177161306953e-25	7.22154184698394e-62	3.53677209980371e-09
chr4	148980459	148981370	Human_hyper_ND	Chimp-specific	912	9	-42.8459827414258	0.7814	0.5095	0.4602	0.4658	0.8022	0.4201	1.82673610750482e-08	1.21143638653128e-19	0.00153613298690274
chr10	19466451	19467506	Human_hyper_ND	Chimp-specific	1056	7	-42.499891295532	0.9033	0.6673	0.6276	0.5516	0.8863	0.5263	2.10540030499925e-21	2.34585575295096e-43	4.81928148706161e-05
chr8	16382861	16385074	Human_hyper_ND	Chimp-specific	2214	8	-41.9365687819752	0.9006	0.5843	0.5149	0.4186	0.8628	0.6946	9.42915284903722e-58	1.14361412942277e-14	0.00371010665301513
chr10	23392945	23393328	Human_hyper_ND	Chimp-specific	384	7	-40.6870431104704	0.8939	0.4279	0.604	0.4695	0.93	0.4728	9.56371597355607e-14	8.33998815337691e-17	0.470156767392165
chr8	83919971	83920528	Human_hyper_ND	Chimp-specific	558	6	-40.5992177478769	0.827	0.5067	0.5734	0.6059	0.8694	0.6755	3.8996728128421e-19	4.10332177781075e-09	0.00200248458284768
chr13	34319455	34320429	Human_hyper_ND	Chimp-specific	975	8	-39.7180500707223	0.7819	0.5199	0.5223	0.5258	0.8275	0.7033	6.42085437266321e-11	3.47465507665234e-07	0.0686287962125168
chr20	59662984	59663400	Human_hyper_ND	Chimp-specific	417	6	-39.2921354688528	0.929	0.7277	0.6222	0.7206	0.9469	0.8381	7.81765986416797e-21	4.11931407263516e-09	7.25182355701245e-05
chr21	43674297	43674757	Human_hyper_ND	Chimp-specific	461	9	-39.2608688073415	0.7422	0.1185	0.4429	0.0992	0.845	0.0737	2.46279705916902e-06	1.63056157249846e-27	0.00331879477902541
