chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr2	222389453	222390517	Human_hyper_OD	Chimp-specific	1065	15	110.363261518374	0.3745	0.8499	0.3605	0.4044	0.5714	0.9084	8.04029964393962e-18	5.21531350366884e-12	0.00213478398715362
chr10	123494761	123495185	Human_hyper_OD	Chimp-specific	425	14	95.3736266868864	0.5319	0.7512	0.3334	0.1901	0.7223	0.8905	3.41751468970089e-18	8.63958059899594e-16	0.49781041824644
chr2	144692880	144693905	Human_hyper_OD	Chimp-specific	1026	20	90.1250405805538	0.3978	0.662	0.3551	0.3692	0.296	0.602	1.21075538813961e-08	4.86020612557271e-13	0.167248831737812
chr17	9680578	9681148	Human_hyper_OD	Chimp-specific	571	11	86.734610717729	0.467	0.7935	0.4167	0.2257	0.4091	0.7407	1.03037776317528e-17	6.59120156060047e-23	0.627315078253186
chr2	39894353	39897245	Human_hyper_OD	Chimp-specific	2893	13	85.9417994426564	0.2133	0.5743	0.2212	0.1946	0.185	0.4929	8.85856968324117e-28	2.94787805375356e-19	0.244112932131072
chr6	139350958	139351353	Human_hyper_OD	Chimp-specific	396	14	82.9589477222646	0.1049	0.4756	0.1924	0.2554	0.1974	0.6717	3.37357313784479e-15	2.50015424026899e-24	0.126941290389085
chr19	13317373	13321419	Human_hyper_OD	Chimp-specific	4047	11	80.2699538376219	0.708	0.8154	0.5488	0.5017	0.633	0.8322	3.03658807654652e-05	1.50224049951363e-21	0.00154807566173656
chr11	128813183	128813872	Human_hyper_OD	Chimp-specific	690	10	78.7283160721873	0.2669	0.7502	0.3544	0.3325	0.4578	0.8265	3.28498585273113e-29	6.92815488951375e-34	0.0037394374613634
chr12	49526131	49527695	Human_hyper_OD	Chimp-specific	1565	16	78.0030207952089	0.148	0.7366	0.2196	0.4984	0.4628	0.9085	1.37052077145865e-28	2.2924181621107e-22	0.23049865281387
chr1	226754697	226755322	Human_hyper_OD	Chimp-specific	626	11	76.7208933875746	0.3682	0.8628	0.3346	0.3785	0.3667	0.865	1.09788583524412e-16	1.20045914910872e-16	0.500630139863447
chr11	31846797	31847139	Human_hyper_OD	Chimp-specific	343	17	75.8215117257919	0.2289	0.639	0.1152	0.2056	0.356	0.8722	2.41849785862318e-10	1.0719894564441e-19	0.00764130591975266
chr6	4402727	4403560	Human_hyper_OD	Chimp-specific	834	8	72.6007122524819	0.3525	0.869	0.2463	0.1795	0.1836	0.5611	1.87237717721991e-39	3.07664697948663e-26	0.000167950378492608
chr16	12214288	12214887	Human_hyper_OD	Chimp-specific	600	12	69.5267363199602	0.4277	0.7858	0.5534	0.489	0.4339	0.7633	1.1806365095497e-10	2.60205797501454e-11	0.362633711647919
chr8	24922052	24922498	Human_hyper_OD	Chimp-specific	447	7	68.5109972706583	0.5134	0.802	0.4394	0.1841	0.5965	0.9033	2.05510464373015e-22	1.19418465384069e-34	0.00486091692094784
chr13	113958570	113958849	Human_hyper_OD	Chimp-specific	280	7	68.1733422081454	0.4225	0.8605	0.4671	0.297	0.346	0.885	1.45855220904211e-18	3.53236848431834e-18	0.0079403244828083
chr1	5060954	5061571	Human_hyper_OD	Chimp-specific	618	9	66.6366086997526	0.2158	0.6747	0.1832	0.3013	0.185	0.5917	1.22964964087597e-15	1.03804305500338e-13	0.339106492975293
chr2	85076593	85077229	Human_hyper_OD	Chimp-specific	637	6	66.152023874072	0.2973	0.8842	0.2887	0.2305	0.2662	0.7882	1.29158121710564e-31	6.87612968990262e-20	0.0260736135686945
chr5	148521856	148524257	Human_hyper_OD	Chimp-specific	2402	10	65.8158117656444	0.3456	0.656	0.431	0.2748	0.3047	0.7101	1.75967564359277e-37	1.36014320027243e-47	0.00537483824955497
chr2	173293542	173293872	Human_hyper_OD	Chimp-specific	331	10	63.1130915509653	0.3505	0.5952	0.3093	0.2286	0.4431	0.5772	5.86615925474206e-10	1.345830715385e-06	0.0093838880978917
chr6	106292322	106293209	Human_hyper_OD	Chimp-specific	888	9	60.221960170838	0.2137	0.5571	0.3072	0.3683	0.2625	0.6392	6.71275301192238e-14	2.77744190113318e-15	0.7198621755255
chr6	16849798	16850411	Human_hyper_OD	Chimp-specific	614	8	59.6438596823441	0.571	0.8699	0.5149	0.3364	0.6459	0.8774	1.53910218751947e-29	5.21225112893613e-22	0.0170453038751636
chr10	79107935	79108366	Human_hyper_OD	Chimp-specific	432	6	59.3943354216206	0.3631	0.7203	0.385	0.1175	0.4003	0.9651	4.93285735793003e-38	9.54576251588343e-81	1.21579813728073e-21
chr4	6377611	6377862	Human_hyper_OD	Chimp-specific	252	9	55.4062890769887	0.477	0.9202	0.5392	0.6	0.5616	0.8646	3.30244083579822e-13	2.13470591682262e-06	8.14322152493291e-06
chr1	62751339	62752197	Human_hyper_OD	Chimp-specific	859	11	53.3562707227593	0.3911	0.569	0.5352	0.3943	0.5933	0.8263	1.04876122377932e-07	6.78307478783021e-15	0.148402345193231
chr8	22866972	22867351	Human_hyper_OD	Chimp-specific	380	10	52.7621301724551	0.3239	0.6965	0.3896	0.4412	0.3904	0.8302	4.28347111972686e-09	2.30399559668427e-22	0.110314389651636
