chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr8	86379535	86384777	Human_hypo_OD	Human-specific	5243	27	-193.555232609422	0.8676	0.2934	0.9436	0.8013	0.9267	0.6664	7.63245737463661e-18	0.00228675576622418	2.50084923517846e-07
chr10	4700536	4701522	Human_hypo_OD	Human-specific	987	15	-173.273620240685	0.8734	0.2225	0.8459	0.8111	0.9307	0.8921	2.48884574837817e-78	0.268367604541821	6.93232781841417e-71
chr16	1533549	1534470	Human_hypo_OD	Human-specific	922	22	-133.568451606302	0.773	0.1375	0.8906	0.6894	0.9483	0.9101	7.92416263961102e-60	2.52077140283747e-10	8.62286810064587e-114
chr20	61480613	61483089	Human_hypo_OD	Human-specific	2477	14	-131.678367516382	0.7861	0.1989	0.8227	0.8494	0.9241	0.6852	1.46068883089764e-60	5.66395187833038e-05	5.45108839946255e-23
chr9	104032254	104037556	Human_hypo_OD	Human-specific	5303	21	-117.506618279838	0.8739	0.2853	0.8645	0.6101	0.7863	0.4682	9.33001578309689e-19	0.748318267593661	1.09577589691088e-31
chr8	93487582	93489074	Human_hypo_OD	Human-specific	1493	10	-111.06431197942	0.9145	0.2535	0.9405	0.8637	0.905	0.6522	6.96009779391498e-85	7.58102416663479e-11	4.00926993518091e-33
chr12	104443634	104444435	Human_hypo_OD	Human-specific	802	22	-110.306241690548	0.7112	0.1425	0.8777	0.6716	0.8113	0.4089	3.56870886269777e-22	3.77904534327367e-05	1.57134865464435e-12
chr2	100293831	100294254	Human_hypo_OD	Human-specific	424	10	-108.748600732467	0.8989	0.2036	0.966	0.8834	0.9614	0.941	1.33623908132181e-63	0.0959938755954848	9.11707758393207e-69
chr2	240866894	240867941	Human_hypo_OD	Human-specific	1048	17	-106.932338483338	0.7737	0.4193	0.9187	0.915	0.8748	0.9362	2.61316652659184e-27	0.00626894442389793	2.36790086493048e-38
chr17	78691318	78691751	Human_hypo_OD	Human-specific	434	12	-106.264054922019	0.7467	0.2341	0.7509	0.7594	0.8956	0.6486	4.17992646986132e-21	3.45441366476461e-07	1.19363064463007e-08
chr6	82460073	82461190	Human_hypo_OD	Human-specific	1118	21	-105.563824078392	0.7664	0.3606	0.8102	0.7327	0.7885	0.6281	4.36887392955601e-13	0.132335341871619	1.19017391983698e-07
chr7	154123475	154124262	Human_hypo_OD	Human-specific	788	11	-104.825048523397	0.8206	0.3639	0.8344	0.8415	0.7173	0.8326	4.36200219865604e-34	1.07757908191179e-07	2.41579479985846e-67
chr3	183229029	183229903	Human_hypo_OD	Human-specific	875	9	-104.713939526943	0.8937	0.1273	0.9003	0.8516	0.8967	0.6671	2.52931154264139e-80	3.5808919350477e-11	1.08214455841879e-53
chr6	7975798	7977130	Human_hypo_OD	Human-specific	1333	12	-103.405056747052	0.8363	0.4737	0.8204	0.8532	0.9222	0.912	5.4242104350614e-20	0.584003084344258	6.02800605546322e-24
chr1	240577048	240577730	Human_hypo_OD	Human-specific	683	12	-103.173823231083	0.8345	0.4321	0.8694	0.9122	0.9209	0.9585	5.91384777453101e-73	0.814465501291872	4.02190593385792e-113
chr6	14516777	14517644	Human_hypo_OD	Human-specific	868	13	-100.226522838594	0.926	0.5575	0.8986	0.825	0.8946	0.7193	5.74501960811667e-21	6.98053630192436e-07	9.68262325983547e-10
chr9	86753573	86755086	Human_hypo_OD	Human-specific	1514	14	-99.2598570601982	0.7202	0.4664	0.6334	0.7956	0.606	0.7466	1.24400007906645e-23	0.717709292724416	8.34650799448175e-37
chr11	120078765	120079257	Human_hypo_OD	Human-specific	493	14	-98.8270742811179	0.8972	0.1573	0.9323	0.6649	0.9433	0.5831	2.13859059342054e-26	0.000318617227922088	8.21486302053284e-20
chr2	228288199	228289925	Human_hypo_OD	Human-specific	1727	14	-98.2699837118846	0.9101	0.4192	0.9522	0.881	0.9068	0.8238	1.7014707003173e-25	0.224985948804022	8.57913847901517e-21
chr10	128831102	128832093	Human_hypo_OD	Human-specific	992	11	-98.0676118890767	0.8453	0.3689	0.8615	0.8336	0.92	0.9064	1.96015158623797e-30	0.537181606569796	3.6666674522434e-50
chr9	98902944	98903635	Human_hypo_OD	Human-specific	692	16	-96.3838139034155	0.6962	0.2457	0.7842	0.7464	0.9143	0.9077	7.96165894703513e-28	0.881546632119038	7.187862885202e-53
chr5	96211703	96212974	Human_hypo_OD	Human-specific	1272	13	-95.7900750231792	0.7017	0.1388	0.8309	0.7234	0.9	0.82	5.50522626771395e-31	0.226831201859051	2.31872576982831e-51
chr12	61582358	61582810	Human_hypo_OD	Human-specific	453	13	-93.2842151578026	0.894	0.3869	0.9522	0.8815	0.9416	0.958	2.35646017689093e-23	0.000276208114455764	1.01385272199746e-40
chr12	6158032	6158387	Human_hypo_OD	Human-specific	356	10	-92.4581243642199	0.8963	0.3052	0.9229	0.8831	0.9392	0.8915	7.22895956377362e-54	0.200402819220703	2.01557743599028e-50
chr10	131660152	131660781	Human_hypo_OD	Human-specific	630	17	-91.6887367189648	0.7947	0.4394	0.8457	0.7465	0.9421	0.9106	7.27793566344549e-16	0.243389134529462	5.18618531237825e-15
chr12	132515477	132515866	Human_hypo_OD	Human-specific	390	8	-91.3734549617387	0.8508	0.1338	0.9587	0.9281	0.8654	0.8759	7.00539609784132e-105	0.0014143238085706	6.16193850164283e-128
chr12	8997196	8997555	Human_hypo_OD	Human-specific	360	10	-90.22111032204	0.8603	0.1744	0.9582	0.8629	0.9477	0.7791	2.88517044788724e-51	0.00334550036303523	5.11384464798454e-41
chr11	71119831	71120312	Human_hypo_OD	Human-specific	482	8	-89.0856584753023	0.8688	0.2372	0.8707	0.8253	0.9448	0.9249	6.67005387730621e-65	0.987151794229552	5.57759589029994e-59
chr17	70349460	70350420	Human_hypo_OD	Human-specific	961	15	-88.8974363159035	0.6429	0.1916	0.5492	0.418	0.8401	0.6606	3.45129053985392e-19	0.21077527303991	4.23281165088466e-22
chr12	10165106	10165621	Human_hypo_OD	Human-specific	516	8	-86.5341883874048	0.9163	0.1804	0.9506	0.8911	0.9552	0.8774	6.07183925695602e-83	2.23570450521937e-06	7.67711684359547e-63
chr6	156874105	156875524	Human_hypo_OD	Human-specific	1420	12	-86.3829173095983	0.8824	0.4435	0.9051	0.8164	0.927	0.8172	9.3997387445056e-48	0.00495870232302102	3.57933031705555e-35
chr8	56922480	56923668	Human_hypo_OD	Human-specific	1189	13	-86.3533834370895	0.6002	0.0759	0.8078	0.6866	0.7098	0.4481	6.32943101140176e-42	2.23363590498149e-06	9.49329990664315e-23
chr15	86779506	86780581	Human_hypo_OD	Human-specific	1076	10	-85.8263100622904	0.856	0.203	0.9371	0.862	0.9654	0.9618	4.39647530009221e-57	8.31123976759854e-05	6.21532068233124e-86
chr9	11701401	11702683	Human_hypo_OD	Human-specific	1283	8	-85.8061295042463	0.8434	0.3885	0.7543	0.7712	0.7898	0.8399	1.26118515386107e-28	0.558488783059491	1.39038882133181e-30
chr5	170825690	170826015	Human_hypo_OD	Human-specific	326	8	-84.9987937277155	0.9036	0.3449	0.8138	0.7987	0.9249	0.9548	1.29402859229707e-56	1.33447010758573e-05	4.45401527719707e-88
chr18	50642283	50642823	Human_hypo_OD	Human-specific	541	7	-84.4508105237025	0.9365	0.2543	0.9675	0.9313	0.9427	0.8254	3.39802014426342e-84	0.00819527393539247	2.21046299298461e-72
chr10	129065884	129066392	Human_hypo_OD	Human-specific	509	12	-83.4731687928691	0.9418	0.4782	0.9352	0.885	0.9511	0.8811	3.01368073461357e-41	0.826632113085797	2.84033266621203e-34
chr21	45418877	45420861	Human_hypo_OD	Human-specific	1985	11	-83.1102183123929	0.8443	0.358	0.8886	0.8492	0.8685	0.7458	1.39832553107577e-27	0.4569762422887	3.15087401664423e-32
chr12	132310459	132310633	Human_hypo_OD	Human-specific	175	10	-82.6569929163074	0.901	0.5958	0.7087	0.9153	0.8231	0.8589	4.69761016020828e-38	1.12423367511453e-06	7.44689236076185e-28
chr7	134128689	134129384	Human_hypo_OD	Human-specific	696	9	-82.5973032863381	0.7957	0.2358	0.9138	0.8891	0.7467	0.6934	1.76521885641454e-73	0.912485648129453	6.56255609800828e-37
chr8	67435678	67436747	Human_hypo_OD	Human-specific	1070	9	-82.4051966957894	0.8376	0.3896	0.7541	0.7465	0.8225	0.8507	9.38845121740941e-69	0.209786465696039	5.38290175482094e-51
chr4	186306032	186306711	Human_hypo_OD	Human-specific	680	13	-82.20030691084	0.7216	0.5028	0.672	0.799	0.9326	0.9035	2.0251589798119e-30	1.82714818588044e-05	1.57554672629947e-06
chr22	46634807	46635070	Human_hypo_OD	Human-specific	264	9	-82.1322084647026	0.8753	0.3296	0.8808	0.8473	0.9485	0.8746	9.33769922471387e-45	0.000994384736614428	5.52935049854969e-36
chr9	134962915	134963459	Human_hypo_OD	Human-specific	545	8	-81.7518636578455	0.9133	0.132	0.9641	0.8881	0.9514	0.8109	4.48341831922332e-48	0.000114781309153877	2.34531312834895e-38
chr6	7996173	7997202	Human_hypo_OD	Human-specific	1030	11	-81.5649040549013	0.8973	0.3707	0.892	0.7189	0.937	0.8065	4.67022923986465e-39	0.821345122155099	6.32390839775379e-32
chr1	237945356	237946234	Human_hypo_OD	Human-specific	879	10	-80.9876973111854	0.9018	0.2275	0.8406	0.5908	0.8506	0.4394	1.31927986033323e-49	7.12536811154838e-05	1.92465303722584e-16
chr3	177164005	177164592	Human_hypo_OD	Human-specific	588	10	-80.9812169045209	0.9042	0.2132	0.9414	0.7013	0.9465	0.6445	2.07530496238179e-26	0.0168832065637579	2.08727988402184e-42
chr1	237087013	237088957	Human_hypo_OD	Human-specific	1945	13	-79.6999537609816	0.8012	0.4847	0.8407	0.8291	0.8384	0.8484	8.01168311911909e-24	0.278390576980552	1.18917717070241e-34
chr10	1083005	1083843	Human_hypo_OD	Human-specific	839	14	-79.5954426057045	0.8274	0.4892	0.6953	0.736	0.9353	0.9028	1.20738768168843e-29	5.35617100810308e-06	1.67016872870396e-20
chr18	71793550	71794803	Human_hypo_OD	Human-specific	1254	9	-78.858954104342	0.9089	0.2449	0.9368	0.8018	0.8008	0.7786	3.48621220951093e-50	4.21215881351119e-09	8.59365064154968e-71
chr14	39337203	39339690	Human_hypo_OD	Human-specific	2488	12	-78.6886806837054	0.9036	0.4184	0.8842	0.7666	0.867	0.752	4.30589148427008e-48	0.705768687505824	5.11021285467303e-89
chr12	124380078	124380262	Human_hypo_OD	Human-specific	185	6	-77.6036868450915	0.8843	0.1282	0.9619	0.9523	0.9499	0.9471	7.26848595865356e-44	0.354727907104989	1.25683652350686e-58
chr7	106573176	106574274	Human_hypo_OD	Human-specific	1099	10	-77.5773094713144	0.8565	0.2679	0.9349	0.7341	0.8707	0.6493	8.33279006006308e-22	0.815432691782843	4.30396186402879e-31
chr6	161914538	161915006	Human_hypo_OD	Human-specific	469	13	-77.0907821423677	0.582	0.3526	0.7355	0.8411	0.795	0.9226	8.78638830218757e-14	0.312496801656205	2.10905308818651e-18
chr7	52849250	52849908	Human_hypo_OD	Human-specific	659	8	-76.3299751273342	0.9291	0.419	0.9343	0.913	0.9144	0.8793	2.32072221175524e-43	0.915548681465695	8.30050475216795e-51
chr6	169262398	169262925	Human_hypo_OD	Human-specific	528	8	-76.2542180053502	0.9314	0.2723	0.9634	0.9099	0.9471	0.6568	7.42335374983852e-41	5.70392288174141e-11	8.31370959930793e-23
chr3	174764180	174764929	Human_hypo_OD	Human-specific	750	8	-75.9308540463627	0.8783	0.4131	0.8885	0.8508	0.8992	0.9554	1.81051416009241e-39	1.30944268094147e-05	7.48995868898511e-84
chr10	130758123	130758949	Human_hypo_OD	Human-specific	827	15	-75.7545013614116	0.9269	0.4843	0.9098	0.7584	0.8335	0.7797	1.07963192039846e-16	1.98505691144009e-07	7.04322462665309e-58
chr21	40356851	40357073	Human_hypo_OD	Human-specific	223	6	-75.373045318821	0.7022	0.2882	0.773	0.9418	0.6954	0.923	6.92577937655723e-85	0.159272808836779	1.04914157241132e-66
chr2	160006506	160007101	Human_hypo_OD	Human-specific	596	8	-74.936052967507	0.91	0.3525	0.9405	0.8772	0.5175	0.7103	8.59046890380222e-52	2.31225426501083e-11	1.3524068915595e-119
chr4	184905794	184906200	Human_hypo_OD	Human-specific	407	9	-74.8346866303375	0.3631	0.1124	0.7403	0.9078	0.7829	0.7951	9.64922124293468e-38	1.3164868334459e-05	1.04318527117162e-26
chr14	73753886	73754232	Human_hypo_OD	Human-specific	347	8	-73.4973489289944	0.8701	0.2418	0.861	0.7809	0.7968	0.8883	1.51628352007357e-26	3.29226567630883e-17	6.88751834900189e-85
chr12	3793712	3794405	Human_hypo_OD	Human-specific	694	8	-73.2866856241212	0.8285	0.1871	0.963	0.9386	0.6197	0.9569	6.22725152645677e-61	4.52705022012027e-55	5.7423501725935e-248
chr10	54849775	54850244	Human_hypo_OD	Human-specific	470	6	-72.8355599386307	0.8758	0.1451	0.946	0.8906	0.8804	0.8053	9.92003044409127e-116	0.47007884696246	9.09506698060852e-38
