chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr2	171670548	171671994	Human_hyper_OD	Human-specific	1447	22	170.507279803585	0.0989	0.5353	0.1037	0.1648	0.1329	0.2907	1.72222314854419e-56	1.63948730445472e-06	1.71499527536244e-34
chr10	71487512	71488061	Human_hyper_OD	Human-specific	550	9	103.604021124036	0.479	0.9118	0.6766	0.3946	0.6114	0.5413	6.48100636603565e-60	0.0124662172186389	1.87064044119855e-54
chr12	99725141	99726818	Human_hyper_OD	Human-specific	1678	12	89.3989182023662	0.39	0.7726	0.426	0.2936	0.47	0.5261	1.66390797005945e-59	1.82659907839084e-07	1.57392140468263e-37
chr12	114845446	114845920	Human_hyper_OD	Human-specific	475	15	86.249975793125	0.1064	0.5275	0.0752	0.1693	0.0542	0.0983	2.08110516884269e-22	7.67130300740075e-05	5.79789527957697e-65
chr16	64201563	64202168	Human_hyper_OD	Human-specific	606	13	82.2686739692826	0.18	0.7142	0.242	0.3568	0.3902	0.1418	1.13028107290036e-21	1.76824178170262e-19	1.71258255113962e-59
chr20	55499436	55499695	Human_hyper_OD	Human-specific	260	14	82.0316398645689	0.2286	0.7382	0.1549	0.34	0.2458	0.4774	3.48322536101421e-32	0.266690388569318	7.03153149329773e-18
chr20	55499807	55500103	Human_hyper_OD	Human-specific	297	17	80.3620498786067	0.1471	0.4097	0.1108	0.1388	0.1415	0.2463	4.18042840029549e-08	0.00897111971952867	0.000162777301005842
chr2	3199102	3199885	Human_hyper_OD	Human-specific	784	13	79.4389603818826	0.392	0.7949	0.4196	0.5455	0.2629	0.3747	8.38624165633696e-09	0.204643168968822	3.56514122455924e-32
chr7	22089488	22090003	Human_hyper_OD	Human-specific	516	10	75.0934203972871	0.3088	0.8284	0.3701	0.4461	0.255	0.0401	3.82187003186154e-20	1.17695683086186e-22	8.81764889976909e-151
chr4	152872110	152872782	Human_hyper_OD	Human-specific	673	11	72.8478815599195	0.2826	0.8262	0.3078	0.4867	0.3224	0.4599	3.36854380720495e-18	0.305205179644635	1.10387797458002e-38
chr4	130168119	130168585	Human_hyper_OD	Human-specific	467	9	71.8659980866135	0.5545	0.924	0.6385	0.5907	0.4823	0.561	4.17133689630877e-42	0.0352198163421686	5.84767078504492e-22
chr2	107504334	107504687	Human_hyper_OD	Human-specific	354	8	63.9855216584247	0.1964	0.6976	0.3306	0.4265	0.2796	0.5265	1.5398709518899e-34	2.81676008601655e-06	2.27382453379837e-18
chr13	112708783	112709201	Human_hyper_OD	Human-specific	419	10	63.3366484385061	0.2089	0.4383	0.1394	0.1209	0.156	0.19	5.59615659219465e-14	0.0360062483818622	5.65543696533426e-08
chr2	27195039	27196350	Human_hyper_OD	Human-specific	1312	11	63.0779528266681	0.1677	0.5504	0.1539	0.2255	0.2312	0.1324	1.00757121336203e-27	2.76285224038854e-12	1.14538232080848e-92
chr2	200851962	200853262	Human_hyper_OD	Human-specific	1301	9	61.1929728127227	0.4043	0.8008	0.427	0.4919	0.6127	0.5454	2.43190791800153e-39	1.16337588546061e-05	1.0650616333877e-51
chr11	107548653	107549602	Human_hyper_OD	Human-specific	950	9	60.513297194093	0.473	0.7291	0.606	0.4582	0.6221	0.3672	2.00234075058712e-10	0.00701136437869972	5.20164125825062e-18
chr16	87903673	87904058	Human_hyper_OD	Human-specific	386	12	60.2631720168213	0.5643	0.7833	0.3611	0.2952	0.441	0.3542	3.68224996601914e-15	0.283304202306907	2.86513287689774e-13
chr18	75347386	75348251	Human_hyper_OD	Human-specific	866	11	60.2008814725726	0.1492	0.3177	0.2007	0.1362	0.1688	0.1026	2.24430440429015e-16	0.868480318085863	3.57025486178594e-29
chr12	114842177	114842575	Human_hyper_OD	Human-specific	399	13	60.095185311349	0.0992	0.4897	0.069	0.1738	0.0591	0.1527	1.76308364689434e-21	0.22978009081652	8.63320172984185e-25
