chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_species_HvsC	Bonferroni_species_MvsC	Bonferroni_species_MvsH
chr10	19527718	19553113	human_hyper	Chimp-specific	25396	34	760.704883413212	0.9498	0.865	0.5285	0.4686	0.8881	0.826	0	0	1.0777902500017e-17
chr10	19560508	19570230	human_hyper	Chimp-specific	9723	22	350.738776772319	0.9465	0.8824	0.5991	0.575	0.8874	0.8434	0	0	1.87341033540839e-14
chr10	19553673	19560421	human_hyper	Chimp-specific	6749	21	335.658398573223	0.9533	0.8901	0.6263	0.5478	0.9162	0.8547	0	0	2.3937278510851e-17
chr16	15976903	15980999	human_hyper	Chimp-specific	4097	30	313.089661911092	0.9427	0.9267	0.7356	0.7015	0.9379	0.9051	5.87950224806272e-122	5.92731889909771e-58	0.00302236962035445
chr17	57233628	57234833	human_hyper	Chimp-specific	1206	20	286.115670289127	0.6104	0.5513	0.1585	0.121	0.8857	0.8706	1.612038050096e-218	0	8.83175825058927e-173
chr4	110622985	110623862	human_hyper	Chimp-specific	878	28	268.74666985824	0.5432	0.492	0.2515	0.2355	0.5881	0.5501	2.68598090998289e-61	1.437236750657e-42	2.25369789126089e-05
chr8	33368921	33369726	human_hyper	Chimp-specific	806	19	255.31781080497	0.7208	0.7149	0.3963	0.3329	0.6326	0.5941	3.50541712806859e-87	1.44799060157769e-29	1.44609037001741e-06
chr5	101118333	101119940	human_hyper	Chimp-specific	1608	18	240.699632883505	0.6335	0.5842	0.2101	0.207	0.9191	0.8372	1.27698852092999e-75	3.7763573486974e-287	2.55036333944222e-35
chr2	178091485	178092274	human_hyper	Chimp-specific	790	12	235.15131101203	0.8444	0.8296	0.2059	0.3354	0.8747	0.8679	7.08105238864706e-114	8.65326970017607e-78	0.000183405886043319
chr19	44456395	44456774	human_hyper	Chimp-specific	380	10	228.170279965984	0.9431	0.9378	0.3807	0.3287	0.7465	0.713	0	8.51309226838274e-81	6.04711880116024e-67
chr16	18085818	18093255	human_hyper	Chimp-specific	7438	23	220.196630680267	0.9478	0.8802	0.7545	0.701	0.9172	0.8357	1.29253327144889e-151	2.97029319406759e-35	1.59788788032779e-25
chr16	791561	791969	human_hyper	Chimp-specific	409	16	218.678105196439	0.7883	0.7755	0.2094	0.22	0.8467	0.8609	6.72197354016516e-147	7.68418061035622e-139	1.04946557932309e-27
chr16	89689811	89691556	human_hyper	Chimp-specific	1746	27	218.598875134587	0.7887	0.6142	0.4357	0.2386	0.872	0.6426	1.2449412396585e-96	7.54760625290076e-69	0.000386962416967828
chr2	127954512	127955446	human_hyper	Chimp-specific	935	12	214.853852889884	0.9148	0.8951	0.4686	0.429	0.9628	0.9583	1.99411283197863e-226	4.64086179925097e-194	2.81308394894939e-20
chr2	69614945	69615393	human_hyper	Chimp-specific	449	13	199.119504546767	0.5749	0.6992	0.1705	0.2869	0.4638	0.533	7.33644821015318e-122	3.68064467369297e-44	3.8499637192217e-10
chr13	96706773	96707269	human_hyper	Chimp-specific	497	16	194.867076297529	0.9573	0.9428	0.5988	0.6442	0.8502	0.8907	3.04104469580364e-112	3.82149097787924e-50	7.9190862963061e-22
chr10	19452527	19456244	human_hyper	Chimp-specific	3718	15	192.463406024897	0.9509	0.9053	0.6993	0.6737	0.9374	0.8911	1.25972552313515e-271	2.96598444826206e-187	0.00178421248002825
chr8	86131700	86132055	human_hyper	Chimp-specific	356	17	188.623732925836	0.6498	0.7356	0.307	0.3206	0.767	0.8016	2.43195454839818e-43	4.46398997197734e-102	1.60297987090301e-05
chr10	99184954	99185449	human_hyper	Chimp-specific	496	18	178.906698815886	0.624	0.6198	0.3752	0.3794	0.567	0.5696	2.52576730300761e-28	1.24029248553749e-20	0.0978543955507074
chr3	182442681	182443864	human_hyper	Chimp-specific	1184	11	169.260638033593	0.8723	0.7241	0.1969	0.1299	0.9464	0.7989	0	2.79346762473473e-294	3.16231562641716e-18
chr8	41218000	41218709	human_hyper	Chimp-specific	710	17	160.991676710418	0.4737	0.4339	0.2884	0.2326	0.4544	0.5149	2.9740006982818e-20	1.9696297836322e-26	0.000808931892576209
chr10	19409968	19422508	human_hyper	Chimp-specific	12541	10	160.130692125291	0.9223	0.8825	0.7236	0.6827	0.9215	0.8779	9.85246595007097e-218	1.0944023826798e-160	0.527126143422195
chr19	49587804	49588095	human_hyper	Chimp-specific	292	18	159.886920280431	0.7637	0.7694	0.4986	0.4933	0.763	0.7858	2.17954294521275e-49	2.34935927979759e-50	0.456129145118822
chr19	52451872	52452391	human_hyper	Chimp-specific	520	21	157.838133301409	0.2104	0.1939	0.0483	0.0478	0.7615	0.7806	8.53968984191005e-28	3.46588597498559e-174	3.33761289701587e-75
chr3	128967393	128967791	human_hyper	Chimp-specific	399	15	157.298262056695	0.3691	0.4633	0.1281	0.1662	0.252	0.3255	5.19706053069093e-77	5.16520966596646e-27	6.78139814761174e-12
