chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr6	166853752	166854985	Human_hypo_OD	Chimp-specific	1234	24	-210.407822740314	0.7615	0.4227	0.7296	0.8261	0.7458	0.0738	1.90633793996244e-61	3.41915134008768e-167	8.33982928415319e-46
chr16	86564346	86567341	Human_hypo_OD	Chimp-specific	2996	20	-200.170761068849	0.8621	0.6497	0.9484	0.818	0.9257	0.5682	2.77927823593146e-09	2.11837996301822e-23	2.61308164514109e-10
chr4	126373018	126373858	Human_hypo_OD	Chimp-specific	841	13	-109.198493058031	0.9139	0.3514	0.9457	0.9069	0.9364	0.4849	4.28115662484245e-19	1.22023996709725e-20	0.0812579763216647
chr1	39917270	39917999	Human_hypo_OD	Chimp-specific	730	12	-95.4942979320432	0.8336	0.4027	0.8431	0.8121	0.9115	0.5359	7.19114134846598e-60	5.19228178362003e-43	0.0166775743754852
chr6	157464381	157465368	Human_hypo_OD	Chimp-specific	988	15	-92.088396493056	0.6944	0.4152	0.6421	0.6144	0.3567	0.1024	4.11623067727335e-19	1.65047672100166e-20	0.362227457353504
chr11	120893210	120894028	Human_hypo_OD	Chimp-specific	819	13	-89.7725787027895	0.8684	0.3377	0.954	0.8518	0.814	0.2802	2.85785547267906e-28	4.02024568013499e-27	0.768519239519071
chr12	117433658	117434752	Human_hypo_OD	Chimp-specific	1095	13	-88.4953351664782	0.7079	0.281	0.7084	0.7386	0.7329	0.5025	2.774546150613e-20	3.55508032313646e-13	0.00167983999785141
chr19	31986891	31987224	Human_hypo_OD	Chimp-specific	334	9	-85.2612666682461	0.9213	0.3109	0.9621	0.9171	0.9545	0.5236	1.4888063585441e-51	1.95430164342403e-19	0.000155040181921881
chr1	194564355	194564750	Human_hypo_OD	Chimp-specific	396	8	-82.8420847625803	0.8559	0.3674	0.8609	0.8866	0.4572	0.029	2.39289085527543e-59	9.98422422532221e-67	0.696548762809505
chr2	86412004	86412960	Human_hypo_OD	Chimp-specific	957	12	-81.7136103908729	0.7927	0.589	0.7721	0.8753	0.9123	0.591	3.48920641103269e-22	3.8263842231387e-33	0.000171434827476886
chr1	206878234	206881338	Human_hypo_OD	Chimp-specific	3105	12	-79.8845562933954	0.6721	0.4159	0.5961	0.728	0.6956	0.513	3.58719888319226e-37	3.73381104492054e-30	5.26138270593815e-06
chr4	185690591	185691164	Human_hypo_OD	Chimp-specific	574	9	-77.7786204523704	0.9146	0.4599	0.9405	0.9254	0.8873	0.0504	3.37833106384404e-51	4.14784523919852e-109	1.2656334397489e-26
chr2	240667487	240667900	Human_hypo_OD	Chimp-specific	414	12	-77.409711747233	0.901	0.4141	0.9506	0.8689	0.8473	0.3518	7.93654286445877e-55	3.41577259191125e-29	0.666955400283801
chr8	40723378	40724268	Human_hypo_OD	Chimp-specific	891	12	-77.0325852996014	0.6855	0.2792	0.7376	0.7203	0.7436	0.4359	2.04944631892229e-27	4.11905330889416e-12	0.0108900979808106
chr5	72509356	72511285	Human_hypo_OD	Chimp-specific	1930	14	-73.6115368694689	0.5416	0.4028	0.7007	0.7843	0.7214	0.4922	1.55684687744787e-18	1.08975932082313e-31	4.09802125034975e-05
chr16	68733588	68734315	Human_hypo_OD	Chimp-specific	728	13	-72.5386865319808	0.8576	0.3691	0.8241	0.7138	0.8032	0.4555	7.16214737408251e-21	1.5880783358835e-08	0.00451981159272628
