Category	Term	chr	str	end	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD
interaction	HGD_NeuN_hyper	chr20	2668471	2668914	444	15	-112.847271201706	0.5864	0.1162	0.1149	0.0384	0.2118	0.0532
interaction	HGD_NeuN_hyper	chr11	43290046	43291210	1165	15	-95.7134410612844	0.588	0.0961	0.1909	0.1007	0.3204	0.213
interaction	HGD_NeuN_hyper	chr8	125605222	125605710	489	13	-89.2669931236025	0.4424	0.108	0.1383	0.0987	0.1201	0.1341
interaction	HGD_NeuN_hyper	chr2	237277672	237278614	943	12	-70.9104086947841	0.9092	0.425	0.6966	0.5007	0.3848	0.247
interaction	HGD_NeuN_hyper	chr6	8238608	8239643	1036	12	-67.6289438972656	0.9034	0.5409	0.7467	0.647	0.7634	0.5723
interaction	HGD_NeuN_hyper	chr2	113017105	113017342	238	9	-66.5206853563261	0.4194	0.0127	0.0703	0.005	0.0579	0.0078
interaction	HGD_NeuN_hyper	chr16	1889530	1890513	984	12	-66.1002558206085	0.9068	0.7058	0.6229	0.6067	0.643	0.54
interaction	HGD_NeuN_hyper	chr14	60798414	60798733	320	11	-65.5878863915111	0.6945	0.0075	0.2878	0.0046	0.4498	0.288
interaction	HGD_NeuN_hyper	chr18	73496395	73496715	321	11	-64.0753256175241	0.4506	0.0227	0.1826	0.0658	0.2839	0.0522
interaction	HGD_NeuN_hyper	chr14	105030711	105031037	327	11	-63.6013257606659	0.6618	0.1922	0.422	0.29	0.3464	0.2533
interaction	HGD_NeuN_hyper	chr13	44586935	44588213	1279	7	-61.6024775585332	0.6848	0.2011	0.1587	0.14	0.3572	0.3809
interaction	HGD_NeuN_hyper	chr13	100225123	100225489	367	13	-60.9507872940147	0.7039	0.1732	0.4418	0.1821	0.3528	0.1221
interaction	HGD_NeuN_hyper	chr8	1427738	1428110	373	9	-60.947420900068	0.7516	0.4825	0.4203	0.5138	0.5233	0.5442
interaction	HGD_NeuN_hyper	chr3	57044888	57045310	423	11	-55.8647038698476	0.9123	0.7747	0.5897	0.679	0.4485	0.4034
interaction	HGD_NeuN_hyper	chr1	217576265	217576684	420	6	-51.9422351945122	0.8549	0.4431	0.3559	0.3879	0.1864	0.2162
interaction	HGD_NeuN_hyper	chr13	52188502	52189684	1183	9	-51.413913026338	0.5859	0.265	0.3306	0.2167	0.2194	0.1453
interaction	HGD_NeuN_hyper	chr5	159498397	159499403	1007	9	-49.4371871058208	0.561	0.2016	0.3024	0.2345	0.1636	0.2117
interaction	HGD_NeuN_hyper	chr17	8957764	8958292	529	15	-48.302059169534	0.7582	0.2973	0.5793	0.3229	0.4079	0.2778
interaction	HGD_NeuN_hyper	chr20	47579801	47580092	292	7	-46.9836164820045	0.8501	0.3059	0.5854	0.4826	0.6551	0.288
interaction	HGD_NeuN_hyper	chr4	168918646	168919877	1232	7	-43.6556547042496	0.9456	0.8096	0.7581	0.7345	0.7369	0.6612
interaction	HGD_NeuN_hyper	chr1	8362413	8362676	264	9	-42.9055948634927	0.8302	0.1241	0.614	0.2021	0.4965	0.1277
interaction	HGD_NeuN_hyper	chr8	10166501	10166953	453	10	-41.9958870384703	0.5986	0.1989	0.229	0.2045	0.2775	0.2348
interaction	HGD_NeuN_hyper	chr9	101043111	101043565	455	5	-41.5836726207349	0.876	0.6053	0.3926	0.5082	0.3755	0.5171
interaction	HGD_NeuN_hyper	chr18	56611616	56612318	703	7	-40.9503360471182	0.6517	0.2227	0.2972	0.2871	0.2541	0.1322
interaction	HGD_NeuN_hyper	chr3	182335588	182336170	583	8	-40.8858074244395	0.6956	0.0899	0.5037	0.1708	0.1892	0.0671
interaction	HGD_NeuN_hyper	chr11	104305231	104305850	620	4	-40.8470386791045	0.9052	0.5359	0.4994	0.6373	0.6698	0.6427
interaction	HGD_NeuN_hyper	chr4	8395692	8395941	250	9	-40.4928301828212	0.3992	0.044	0.1702	0.0572	0.2746	0.043
interaction	HGD_NeuN_hyper	chr17	27143624	27143734	111	4	-40.4891988757171	0.9083	0.2014	0.4748	0.3385	0.498	0.3558
interaction	HGD_NeuN_hyper	chr12	63206915	63207225	311	12	-40.3617176376551	0.2805	0.0986	0.0984	0.0482	0.0948	0.032
interaction	HGD_NeuN_hyper	chr5	124075445	124076873	1429	10	-39.6511113834552	0.5187	0.1826	0.3987	0.3502	0.3437	0.2222
interaction	HGD_NeuN_hyper	chr2	59889359	59890385	1027	10	-37.8353900164871	0.8702	0.5799	0.7662	0.6388	0.7714	0.6189
interaction	HGD_NeuN_hyper	chr8	8820459	8820884	426	12	-37.82680031084	0.3143	0.1263	0.1482	0.0611	0.0731	0.0673
interaction	HGD_NeuN_hyper	chr9	80828655	80829394	740	5	-37.6560417651427	0.5399	0.0627	0.3316	0.1445	0.1804	0.092
interaction	HGD_NeuN_hyper	chr10	31319370	31319820	451	11	-35.9225656969021	0.7567	0.2339	0.3872	0.1119	0.1039	0.0447
interaction	HGD_NeuN_hyper	chr13	44619208	44619943	736	7	-35.6366348309474	0.6328	0.2612	0.1044	0.0978	0.0917	0.0562
interaction	HGD_NeuN_hyper	chr13	99755933	99756215	283	7	-35.4368778017212	0.6058	0.1093	0.2033	0.0278	0.3221	0.0768
interaction	HGD_NeuN_hyper	chr9	2241066	2241282	217	8	-35.3993346371227	0.5868	0.1943	0.4419	0.2871	0.2425	0.1051
interaction	HGD_NeuN_hyper	chr13	108374052	108374356	305	6	-33.6444133898121	0.3229	0.0695	0.0283	0.0648	0.0323	0.0225
interaction	HGD_NeuN_hyper	chr1	173389555	173389715	161	4	-33.4590519356246	0.5572	0.0588	0.0345	0.0064	0.0115	0.0052
interaction	HGD_NeuN_hyper	chr4	104020099	104020554	456	4	-33.1177229436804	0.6359	0.0569	0.3936	0.1708	0.4218	0.1796
interaction	HGD_NeuN_hyper	chr17	29297516	29297873	358	9	-32.736690914162	0.2076	0.0165	0.0101	0.0032	0.0073	0.0047
interaction	HGD_NeuN_hyper	chr4	170189999	170190651	653	8	-32.7289969969699	0.6516	0.242	0.4497	0.3347	0.4953	0.395
interaction	HGD_NeuN_hyper	chr6	112471740	112471917	178	4	-32.5967525106651	0.7355	0.3138	0.088	0.0944	0.2367	0.2299
interaction	HGD_NeuN_hyper	chr3	66743992	66744443	452	6	-31.5298952730611	0.6339	0.0595	0.2876	0.0516	0.2525	0.0227
interaction	HGD_NeuN_hyper	chr10	123674206	123674576	371	5	-31.0529756600964	0.8856	0.7002	0.6277	0.7363	0.3934	0.4704
interaction	HGD_NeuN_hyper	chr8	58660712	58661265	554	6	-30.5306931262199	0.4841	0.0874	0.1306	0.032	0.2637	0.0677
interaction	HGD_NeuN_hyper	chr18	21159620	21160046	427	6	-30.4837136789398	0.8723	0.681	0.5769	0.6947	0.7242	0.5963
interaction	HGD_NeuN_hyper	chr5	174964192	174964359	168	6	-29.8732252662741	0.8079	0.4668	0.5098	0.5237	0.3795	0.5566
interaction	HGD_NeuN_hyper	chr13	111094742	111095282	541	7	-29.6211774599129	0.8602	0.6655	0.6082	0.6754	0.4391	0.5859
interaction	HGD_NeuN_hyper	chr1	46908741	46908808	68	4	-29.2615180444705	0.5744	0.1276	0.1368	0.1616	0.0253	0.0224
interaction	HGD_NeuN_hyper	chr6	116646768	116647797	1030	6	-29.2408264955642	0.9209	0.6533	0.7379	0.5277	0.5294	0.5133
