chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr10	11503008	11504551	Human_hypo_ND	Human-specific	1544	26	193.798981890632	0.4591	0.9491	0.8207	0.9041	0.7592	0.9326	1.81520599058053e-65	4.3445028393498e-12	3.83732894287851e-29
chr6	157283249	157284211	Human_hypo_ND	Human-specific	963	30	176.720794901194	0.6622	0.9611	0.9543	0.9547	0.9331	0.8347	7.38681302538057e-37	1.50752953507813e-08	4.17675570347647e-50
chr21	42618873	42619722	Human_hypo_ND	Human-specific	850	25	173.329504398411	0.5654	0.9318	0.9304	0.9302	0.9346	0.8347	6.05169857092565e-42	6.35714642424365e-10	1.86933623968691e-77
chr5	14442043	14445901	Human_hypo_ND	Human-specific	3859	36	169.327827056376	0.3925	0.5654	0.6046	0.507	0.5362	0.5787	1.17753033885276e-08	0.000466158941815726	0.000221516657847982
chr9	36182440	36183711	Human_hypo_ND	Human-specific	1272	23	143.758891272662	0.6119	0.909	0.9452	0.9335	0.9426	0.8393	8.36178319723454e-27	4.59302877216218e-17	8.57520360538765e-55
chr10	12231173	12232484	Human_hypo_ND	Human-specific	1312	25	143.033355173558	0.5272	0.933	0.866	0.9355	0.9527	0.9202	8.18743458242211e-30	1.08086404010017e-31	1.06820338582305e-73
chr10	116849577	116851817	Human_hypo_ND	Human-specific	2241	23	135.299498670394	0.4272	0.7171	0.6885	0.705	0.7251	0.8272	3.2557175067736e-35	4.91999901998403e-07	2.38549392384391e-15
chr10	1850996	1852036	Human_hypo_ND	Human-specific	1041	20	133.811485413064	0.556	0.9402	0.7626	0.8125	0.9082	0.9292	1.40095199503863e-19	0.956853118694536	8.57011798564487e-43
chr13	96099044	96099757	Human_hypo_ND	Human-specific	714	18	131.191724787733	0.484	0.9301	0.8943	0.9294	0.7437	0.8835	1.13064865359001e-65	0.00254455562697649	1.26803446332654e-16
chr8	804830	805346	Human_hypo_ND	Human-specific	517	15	129.137813276735	0.4464	0.9057	0.9549	0.9475	0.9454	0.9318	7.33061247827136e-36	0.94139355367317	1.22328039775956e-35
