chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr20	2668471	2668914	Human_hyper_ND	Human-specific	444	15	-112.847271201706	0.5864	0.1162	0.1149	0.0384	0.2118	0.0532	4.81657770018801e-27	3.13187439534622e-05	7.17647689761633e-14
chr11	43290046	43291210	Human_hyper_ND	Human-specific	1165	15	-95.7134410612844	0.588	0.0961	0.1909	0.1007	0.3204	0.213	9.35723506137419e-32	0.588060070754089	3.2639964656671e-31
chr8	125605222	125605710	Human_hyper_ND	Human-specific	489	13	-89.2669931236025	0.4424	0.108	0.1383	0.0987	0.1201	0.1341	1.51506721969037e-38	0.274729687175359	9.56262894073339e-44
chr2	237277672	237278614	Human_hyper_ND	Human-specific	943	12	-70.9104086947841	0.9092	0.425	0.6966	0.5007	0.3848	0.247	9.37576050376965e-19	0.0335481783151577	2.68813348344432e-76
chr6	8238608	8239643	Human_hyper_ND	Human-specific	1036	12	-67.6289438972656	0.9034	0.5409	0.7467	0.647	0.7634	0.5723	8.68054543068498e-41	0.000517665830753601	4.71593346054389e-33
chr2	113017105	113017342	Human_hyper_ND	Human-specific	238	9	-66.5206853563261	0.4194	0.0127	0.0703	0.005	0.0579	0.0078	1.30977468832816e-37	0.255513850122918	1.0802221177924e-57
chr16	1889530	1890513	Human_hyper_ND	Human-specific	984	12	-66.1002558206085	0.9068	0.7058	0.6229	0.6067	0.643	0.54	4.26065035733914e-35	3.38575481000414e-05	5.26268452779312e-11
chr14	60798414	60798733	Human_hyper_ND	Human-specific	320	11	-65.5878863915111	0.6945	0.0075	0.2878	0.0046	0.4498	0.288	2.02641646980187e-17	1.69409413548088e-16	9.78829710007987e-89
chr18	73496395	73496715	Human_hyper_ND	Human-specific	321	11	-64.0753256175241	0.4506	0.0227	0.1826	0.0658	0.2839	0.0522	5.50988881912925e-29	0.00101329174664587	1.53879598516426e-11
chr14	105030711	105031037	Human_hyper_ND	Human-specific	327	11	-63.6013257606659	0.6618	0.1922	0.422	0.29	0.3464	0.2533	2.62043418332565e-27	0.593747604138718	8.66643836389274e-42
chr13	44586935	44588213	Human_hyper_ND	Human-specific	1279	7	-61.6024775585332	0.6848	0.2011	0.1587	0.14	0.3572	0.3809	4.52186515937618e-54	0.0687516541889456	9.72202181088908e-66
chr13	100225123	100225489	Human_hyper_ND	Human-specific	367	13	-60.9507872940147	0.7039	0.1732	0.4418	0.1821	0.3528	0.1221	3.14950616504539e-09	0.737228824490183	4.05068409391543e-12
chr8	1427738	1428110	Human_hyper_ND	Human-specific	373	9	-60.947420900068	0.7516	0.4825	0.4203	0.5138	0.5233	0.5442	3.07940023050992e-26	0.000889803328864048	2.43990111100985e-19
chr3	57044888	57045310	Human_hyper_ND	Human-specific	423	11	-55.8647038698476	0.9123	0.7747	0.5897	0.679	0.4485	0.4034	2.11460990829768e-07	0.0622377820284632	0.00310014668608215
chr1	217576265	217576684	Human_hyper_ND	Human-specific	420	6	-51.9422351945122	0.8549	0.4431	0.3559	0.3879	0.1864	0.2162	1.05162534674852e-46	0.751118666974067	4.08394495466926e-58
