chromosome	pos	Human_meth	Chimp_meth	Macaque_meth	stats_all	pval_all	fdr_all	stats_HvsC	pval_HvsC	fdr_HvsC	stats_MvsH	pval_MvsH	fdr_MvsH	stats_MvsC	pval_MvsC	fdr_MvsC
chr1	866900	0.95	0.856	0.422	4.81525524555017	1.47011854218618e-06	6.8514046677872e-05	1.74209682166161	0.0814915036619045	0.549878416220402	-6.40011331742302	1.55261678450434e-10	1.31852081777374e-08	-3.20503658751459	0.00135045313143826	0.0203354756818331	Macaque_hypo
chr1	893288	0.751	0.804	0.223	4.71935805564288	2.36590065707758e-06	0.000102459537090891	0.0976962386483948	0.922173502393897	0.996610784095991	-5.18722912708184	2.13446055973622e-07	8.63504805050968e-06	-5.24027559107491	1.60336962600641e-07	9.46863228374707e-06	Macaque_hypo
chr1	997861	0.663	0.255	0.766	4.2905535541465	1.78228297501816e-05	0.000556834928186598	3.42071192860054	0.000624574514732612	0.0208460660056198	1.83787925571643	0.0660801995098462	0.313389561913006	5.65207315010986	1.58524095692632e-08	1.23316781704821e-06	Chimp_specific_hypo
chr1	997902	0.508	0.501	0.978	3.56697256157666	0.000361129276781893	0.00653256119444112	-0.343922534411667	0.73090454446254	0.983908785182776	3.99644563474528	6.43006397988758e-05	0.00126772671849991	5.01088724254431	5.41796552351559e-07	2.74450238930655e-05	Macaque_hyper
chr1	1001554	0.953	0.649	0.823	3.56202857242233	0.000368000321940786	0.0066322213146258	4.72354260238318	2.3177137894719e-06	0.000205755025191506	-3.36269533392686	0.000771854974894588	0.0103667666103856	1.22149175294995	0.221899886253123	0.686060213731297	Human_specific_hyper
chr1	1002068	0.586	0.67	0.937	3.01786421756854	0.00254562936261872	0.0303987354121965	-1.8162552626659	0.0693312244199863	0.50962032305295	3.55790521516193	0.000373824149804421	0.00565749314032163	2.94313294020737	0.00324908863348358	0.0407881397093958	Macaque_hyper
chr1	1002069	0.612	0.573	0.988	3.17201366647569	0.00151385882709094	0.0203268427694074	0.463077978178618	0.643308474328869	0.974173883177008	4.4750630594037	7.63887641209752e-06	0.000201139886526615	3.85748774449634	0.000114558421302752	0.00268623397147281	Macaque_hyper
chr1	1002075	0.545	0.48	0.951	3.14729444410593	0.00164788926546489	0.0217102439758093	-0.518418642692479	0.604166210287329	0.968512332580602	3.78049326853005	0.000156517951417966	0.00271229655269848	3.55216314305981	0.000382077886629332	0.00729340084383513	Macaque_hyper
chr1	1002076	0.364	0.47	0.936	3.48000132246608	0.000501411307512899	0.00848982741812748	-0.562381105975627	0.573856389244302	0.963576493099037	4.74214665271235	2.11465450544571e-06	6.53804287104961e-05	3.17841707385832	0.00148081570721436	0.0218889232839732	Macaque_hyper
chr1	1002304	0.076	0.014	0.46	3.84217958815089	0.000121946554013522	0.00271770445621115	0.915937815481562	0.359699511304786	0.899726594417149	4.72466548265166	2.30494456579488e-06	7.05243898513709e-05	4.25902525689978	2.05320272699304e-05	0.00063027590710838	Macaque_hyper
