chr	start	end	length	nCG	areaStat
chr22	43808749	43826221	17473	138	2560.74294647204
chr22	39229595	39238899	9305	84	1198.75092071056
chr22	25507936	25514538	6603	65	1161.20464607007
chr22	46457096	46464373	7278	96	-1134.12858104735
chr22	44219896	44222333	2438	57	832.391225594368
chr22	38366940	38388658	21719	47	-814.629278813046
chr22	28184703	28189871	5169	90	747.641724779859
chr22	43846361	43848975	2615	44	701.225841559151
chr22	27347001	27350452	3452	36	-537.590087201332
chr22	34261316	34265514	4199	37	515.282977786208
chr22	17951165	17952172	1008	21	-482.306663470954
chr22	34311687	34315524	3838	31	477.689967074324
chr22	17850837	17851593	757	38	-461.137763956594
chr22	27691367	27693164	1798	38	459.980030829448
chr22	28198632	28199495	864	48	430.530946192322
chr22	27668836	27674189	5354	37	-417.557027084592
chr22	50032307	50032736	430	27	-413.759192337493
chr22	27776737	27777492	756	31	-405.043317679148
chr22	43687988	43690053	2066	17	-404.297057723
chr22	17913460	17917588	4129	23	-395.518894252038
chr22	43759147	43760444	1298	32	-383.701322272305
chr22	47082836	47087097	4262	39	380.217548979286
chr22	34188990	34192291	3302	26	379.603154639574
chr22	29580295	29581600	1306	19	-376.747350178561
chr22	26113259	26114848	1590	22	373.957882031467
chr22	40320241	40323272	3032	33	373.847670030579
chr22	45401632	45402669	1038	29	-373.364137654684
chr22	34100994	34103820	2827	23	366.209356069315
chr22	27052948	27056968	4021	25	354.28363820342
chr22	43876773	43879376	2604	22	346.643387567887
chr22	44222944	44226888	3945	32	340.537794193117
chr22	23408245	23409066	822	16	335.133934114019
chr22	43833110	43837245	4136	30	333.823441935289
chr22	43880813	43885651	4839	32	333.213117713098
chr22	38433442	38440105	6664	25	-324.447290927989
chr22	38845835	38853600	7766	26	322.983910753057
chr22	34555058	34560565	5508	23	-319.882456808498
chr22	48026927	48030205	3279	30	318.696686454999
chr22	36353781	36359696	5916	23	314.95637244294
chr22	50270208	50271003	796	17	312.290853704671
chr22	37954571	37961643	7073	21	-310.957482016483
chr22	38362016	38366347	4332	21	-307.353818284998
chr22	44753326	44754212	887	22	-303.226470767823
chr22	35365074	35368143	3070	17	-300.182215904301
chr22	26319517	26320671	1155	17	-297.573510989377
chr22	27057481	27063151	5671	23	297.483192672017
chr22	48573574	48577399	3826	31	295.796841437897
chr22	25552691	25554942	2252	16	295.377470706756
chr22	28238720	28239288	569	16	294.560865925033
chr22	21132748	21134793	2046	32	292.22457978443
chr22	25487150	25488255	1106	16	291.731638873007
chr22	38390458	38397787	7330	17	-283.379073089668
chr22	40596359	40597140	782	19	279.868901844398
chr22	31224411	31228670	4260	25	276.10007993979
chr22	38841450	38842128	679	18	274.850176569163
chr22	24718428	24720204	1777	20	-274.605487935019
chr22	26665579	26669924	4346	22	-274.133424810978
chr22	28099030	28099622	593	18	-273.287384552585
chr22	32871938	32874071	2134	13	-272.498143623004
chr22	49915397	49918340	2944	20	-272.186265213084
chr22	39758105	39762422	4318	21	265.43999950805
chr22	26088162	26089546	1385	23	264.86573664442
chr22	47088780	47090095	1316	20	264.105623148163
chr22	41775459	41780647	5189	28	263.062800149772
