chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr10	27032116	27034071	Chimp_hypo_ND	Chimp-specific	1956	21	-203.885387926952	0.8753	0.9184	0.3985	0.8944	0.8435	0.9263	5.26234909495419e-29	4.28826952492115e-14	8.97266672496876e-07
chr6	363360	364502	Chimp_hypo_ND	Chimp-specific	1143	24	-165.209547782738	0.7014	0.8561	0.4759	0.9383	0.6982	0.878	4.7774857373715e-24	4.25820764144434e-07	6.65871647711956e-06
chr8	142277527	142278343	Chimp_hypo_ND	Chimp-specific	817	19	-160.396831419124	0.9518	0.9536	0.5514	0.9452	0.8317	0.9534	3.27627624145478e-57	1.17365618031139e-13	1.96725182398289e-13
chr2	830769	832502	Chimp_hypo_ND	Chimp-specific	1734	14	-140.393543067183	0.8802	0.8841	0.3298	0.801	0.8691	0.8522	7.1147623450496e-53	9.66803556189451e-67	0.398211911677645
chr10	129222849	129223755	Chimp_hypo_ND	Chimp-specific	907	12	-134.130362997763	0.5268	0.4779	0.1663	0.7775	0.4561	0.5709	2.60829831900689e-79	1.58186158542454e-63	2.02058069087241e-09
chr10	1072340	1073320	Chimp_hypo_ND	Chimp-specific	981	11	-128.701766829847	0.9587	0.9595	0.5162	0.9558	0.8478	0.9268	7.07067097323265e-166	5.07338648504724e-52	3.12425234587193e-07
chr17	6897215	6898370	Chimp_hypo_ND	Chimp-specific	1156	15	-122.507533545285	0.6822	0.8165	0.2549	0.8668	0.6437	0.7448	8.00097342764702e-35	3.77801749217316e-72	0.458126936620768
chr16	70325926	70327902	Chimp_hypo_ND	Chimp-specific	1977	18	-121.136144812181	0.9464	0.9517	0.6444	0.9569	0.8987	0.9456	4.06870781517772e-37	5.66965833543536e-23	2.21714328944968e-09
chr16	11217910	11219404	Chimp_hypo_ND	Chimp-specific	1495	17	-109.906387661422	0.8699	0.9535	0.4919	0.9467	0.9436	0.9576	1.87373915069455e-41	8.7618575201621e-52	2.82894539034964e-08
chr17	10253251	10253969	Chimp_hypo_ND	Chimp-specific	719	14	-109.035110831849	0.9191	0.9135	0.5551	0.9203	0.9477	0.9425	1.10942310153467e-47	1.07069116406859e-52	0.702314629057597
chr10	105174906	105176630	Chimp_hypo_ND	Chimp-specific	1725	15	-106.074611075255	0.8167	0.8677	0.4788	0.8475	0.8784	0.8724	6.58056165472819e-18	2.95172732845364e-27	0.000671884749574685
chr20	13050007	13052590	Chimp_hypo_ND	Chimp-specific	2584	16	-103.930196258008	0.8839	0.9079	0.6503	0.8949	0.8471	0.8191	6.94659850655751e-42	1.24059731735925e-44	0.00561441237189787
chr13	106505599	106506494	Chimp_hypo_ND	Chimp-specific	896	10	-99.3217205983189	0.9292	0.9328	0.5778	0.9476	0.9576	0.9145	8.69653499272371e-27	6.35762800035213e-35	0.00213974154890939
chr7	1540384	1541952	Chimp_hypo_ND	Chimp-specific	1569	19	-94.841458902657	0.9234	0.9052	0.6729	0.9197	0.9207	0.895	2.86482008192086e-20	4.78585546907769e-22	0.225713768846861
chr13	97098253	97099434	Chimp_hypo_ND	Chimp-specific	1182	16	-94.1301329105592	0.8197	0.9085	0.5141	0.9208	0.9167	0.8533	8.64044910962731e-18	2.7640216314984e-26	3.37351458491343e-11
chr14	76277709	76278778	Chimp_hypo_ND	Chimp-specific	1070	12	-93.5255131690793	0.9284	0.9004	0.5413	0.9181	0.9357	0.8906	4.96369923277387e-25	5.76482808532353e-25	0.259953922205532
chr3	11819294	11820751	Chimp_hypo_ND	Chimp-specific	1458	16	-92.2770720953451	0.8713	0.9377	0.6226	0.9348	0.9287	0.9451	3.97771504423372e-14	2.8849662436183e-21	4.71773664672753e-05
chr10	30145393	30146202	Chimp_hypo_ND	Chimp-specific	810	12	-91.8697545939018	0.9455	0.9206	0.6728	0.9468	0.9503	0.9236	1.50582344681579e-18	7.83029941045543e-21	0.680534586848235
chr3	190074737	190076259	Chimp_hypo_ND	Chimp-specific	1523	10	-89.9050210289309	0.8517	0.813	0.4155	0.8819	0.8715	0.8204	4.20890088849053e-34	1.43792677007185e-28	0.771892321798435
chr18	76068542	76069949	Chimp_hypo_ND	Chimp-specific	1408	18	-89.4552053371974	0.7518	0.7519	0.5432	0.9234	0.9557	0.937	2.27509721074521e-14	4.48847162185785e-60	0.0939293276609099
chr2	10222840	10223843	Chimp_hypo_ND	Chimp-specific	1004	15	-89.0113379774787	0.6172	0.7768	0.3208	0.7969	0.9095	0.9132	2.14116107407522e-46	3.41915134008768e-167	2.99401624920467e-24
chr16	78364033	78365377	Chimp_hypo_ND	Chimp-specific	1345	14	-88.8811436960079	0.8699	0.9591	0.5878	0.9328	0.9152	0.9573	7.21235369350819e-13	1.00818506065103e-20	9.8734252374155e-05
chr14	99008829	99009484	Chimp_hypo_ND	Chimp-specific	656	17	-87.458331195716	0.6948	0.9092	0.4782	0.9281	0.6624	0.8857	5.97863701490766e-10	1.48177037088336e-11	0.870518502532137
chr18	73009298	73010137	Chimp_hypo_ND	Chimp-specific	840	13	-86.7014114641128	0.7592	0.7327	0.3508	0.6934	0.5857	0.5093	3.23208801909236e-22	4.49556380358527e-32	0.31027148553188
chr12	14340161	14341132	Chimp_hypo_ND	Chimp-specific	972	16	-86.4422346209845	0.9406	0.9017	0.7563	0.9128	0.8829	0.8799	3.16234604841929e-23	1.37109409867266e-13	0.0018168841616339
chr17	9188929	9190055	Chimp_hypo_ND	Chimp-specific	1127	17	-85.7527888661458	0.7647	0.7618	0.5767	0.8815	0.9422	0.8063	1.39433758161827e-11	1.51385010857725e-43	6.98571284165354e-11
chr18	76168538	76168952	Chimp_hypo_ND	Chimp-specific	415	12	-84.8705513202053	0.7115	0.9004	0.3304	0.8994	0.729	0.9141	7.53536833140228e-19	1.45686064064985e-21	0.591651393869805
chr12	15796627	15797444	Chimp_hypo_ND	Chimp-specific	818	15	-84.4321005171253	0.9337	0.9323	0.6529	0.9018	0.9594	0.9075	3.56353306204177e-28	1.38875111191826e-32	0.00118817230631324
chr2	196461094	196462680	Chimp_hypo_ND	Chimp-specific	1587	10	-83.8585771845995	0.9356	0.9244	0.6334	0.9445	0.9309	0.9412	7.31720781319586e-37	6.32061657615681e-30	0.000816505511620411
chr10	129197377	129198481	Chimp_hypo_ND	Chimp-specific	1105	12	-83.4854497229654	0.8131	0.8777	0.4617	0.8838	0.8271	0.9196	5.9838358751003e-17	2.00477836081888e-13	0.154611451400178
