chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr15	42162316	42163413	Human_hypo_ND	Chimp-specific	1098	31	207.314463144074	0.6307	0.9188	0.8146	0.8463	0.6471	0.8503	7.73991000039097e-29	3.11640604764477e-14	0.00562150177989886
chr10	50415221	50416433	Human_hypo_ND	Chimp-specific	1213	17	190.540042851081	0.4166	0.8945	0.9246	0.828	0.5616	0.8081	1.94029714036861e-211	9.75576945407999e-42	3.51640070292083e-21
chr6	168967688	168969827	Human_hypo_ND	Chimp-specific	2140	15	157.484831543153	0.5048	0.9173	0.9338	0.8644	0.6477	0.8968	9.24806682419786e-76	8.63662673253408e-70	1.353993374439e-06
chr9	89422275	89422995	Human_hypo_ND	Chimp-specific	721	20	148.398818999342	0.4681	0.7197	0.8424	0.7095	0.3889	0.5354	5.14033375734232e-31	8.45170519529536e-12	0.00143522725186205
chr16	16352636	16354257	Human_hypo_ND	Chimp-specific	1622	16	134.726338947618	0.5412	0.9545	0.7976	0.8651	0.6591	0.9335	5.69829520654513e-65	7.48526287407264e-18	1.371418599226e-08
chr13	101165293	101166863	Human_hypo_ND	Chimp-specific	1571	20	133.900813093795	0.3554	0.8215	0.6067	0.6456	0.4487	0.7173	1.73119289079801e-24	1.61611705852627e-11	4.93881305840761e-11
chr15	95018261	95019781	Human_hypo_ND	Chimp-specific	1521	18	124.216122860875	0.4871	0.7443	0.7808	0.6829	0.6215	0.8044	2.30024458309363e-25	5.69615995294712e-14	0.0076423665872621
chr10	82367907	82368674	Human_hypo_ND	Chimp-specific	768	19	121.118033961026	0.4398	0.7789	0.9053	0.8736	0.5934	0.8978	6.38898945632132e-30	5.76386902299318e-21	0.919266310281777
chr6	170361822	170362375	Human_hypo_ND	Chimp-specific	554	16	118.292068603073	0.5716	0.9197	0.9632	0.9374	0.7605	0.9023	8.72137364511837e-52	2.72173367410239e-10	5.23980946380251e-09
chr4	2278445	2278932	Human_hypo_ND	Chimp-specific	488	20	113.32393563605	0.5751	0.9583	0.8745	0.941	0.3624	0.9123	2.5478149432018e-34	1.96908392610938e-51	0.00499702339952682
chr5	97314903	97316717	Human_hypo_ND	Chimp-specific	1815	10	96.331935007378	0.5818	0.9587	0.9299	0.921	0.5142	0.9544	9.60341797600135e-70	2.17882602543081e-73	0.0621995270346002
chr2	42354825	42356578	Human_hypo_ND	Chimp-specific	1754	12	93.9571683619553	0.3901	0.8347	0.8915	0.8879	0.4846	0.811	8.51969757903128e-37	2.09232661787788e-32	0.000612886385848945
chr8	129344594	129345425	Human_hypo_ND	Chimp-specific	832	11	91.9059641270841	0.4247	0.7006	0.8627	0.7061	0.3818	0.7891	8.7909150704486e-61	1.71517454513085e-89	6.95718053866198e-08
chr6	75826786	75827874	Human_hypo_ND	Chimp-specific	1089	10	91.1313788610464	0.5458	0.9019	0.8901	0.8336	0.6536	0.8255	1.53315289612343e-53	1.58969657013019e-17	7.44385431230236e-17
chr18	71441833	71442510	Human_hypo_ND	Chimp-specific	678	16	90.0121264887396	0.5004	0.8795	0.8525	0.9207	0.2958	0.7432	3.28303186588574e-15	4.31319448013416e-21	0.695791922529412
chr6	164344504	164344968	Human_hypo_ND	Chimp-specific	465	13	86.318393917933	0.6389	0.872	0.9177	0.8181	0.5473	0.8854	8.25663109447527e-26	2.38819902988369e-46	0.00121359445098187
chr9	21029283	21030301	Human_hypo_ND	Chimp-specific	1019	13	86.05824655844	0.4224	0.8762	0.8504	0.9424	0.3818	0.8694	4.7266116691146e-15	8.55002073231453e-26	0.267350052333372
chr12	130195130	130195682	Human_hypo_ND	Chimp-specific	553	15	85.5250759376419	0.6742	0.9594	0.9427	0.9698	0.7389	0.9545	2.90077616112302e-11	5.63217122797037e-13	0.0923988418845556
chr11	78298645	78299371	Human_hypo_ND	Chimp-specific	727	14	82.3175371899739	0.6967	0.9377	0.9076	0.8777	0.787	0.9323	2.43880327526273e-29	2.42261976047624e-31	0.00126909803337143
chr8	142250109	142250421	Human_hypo_ND	Chimp-specific	313	13	79.6580899287352	0.5814	0.9545	0.8784	0.9558	0.371	0.8035	9.13225644723185e-12	1.17647742794956e-10	0.480498565537115
chr8	23285928	23287020	Human_hypo_ND	Chimp-specific	1093	12	77.9971222738045	0.7213	0.9275	0.9292	0.8658	0.7044	0.9065	3.0833264314462e-37	1.1547827999654e-38	0.63888814506099
chr2	233429321	233429852	Human_hypo_ND	Chimp-specific	532	12	75.718560196709	0.6845	0.961	0.9568	0.9385	0.7286	0.9516	2.34231322331717e-29	9.61079029319336e-24	0.13162294917727
chr1	9713284	9713890	Human_hypo_ND	Chimp-specific	607	14	75.6307066692622	0.4638	0.6882	0.8072	0.6907	0.4613	0.694	8.81548130465582e-13	2.27437801614506e-13	0.704868485335557
chr7	1581786	1582426	Human_hypo_ND	Chimp-specific	641	15	74.6394284652956	0.7619	0.9282	0.9277	0.9066	0.7497	0.9132	1.9892201556219e-34	2.54615139322254e-12	0.643940176987128
chr16	875830	876228	Human_hypo_ND	Chimp-specific	399	16	73.7677569344422	0.529	0.8084	0.9345	0.8945	0.3856	0.5434	7.90857919985457e-06	3.24943908512687e-06	0.0473023981775446
chr8	33086850	33088169	Human_hypo_ND	Chimp-specific	1320	10	73.6875262446142	0.4583	0.7017	0.7456	0.5761	0.5171	0.7738	2.14151793775125e-34	2.24667871762585e-31	0.964761610234366
chr16	299975	300810	Human_hypo_ND	Chimp-specific	836	14	73.3114743563141	0.4799	0.9343	0.7506	0.8799	0.2877	0.6865	9.80422955823704e-25	4.29930366493617e-11	0.0118083387873665
chr17	80876267	80876763	Human_hypo_ND	Chimp-specific	497	15	71.9484402842148	0.7218	0.9539	0.9308	0.9531	0.7202	0.8646	3.8215774838493e-09	6.98916790511149e-08	0.0028743536706422
chr4	111237060	111237194	Human_hypo_ND	Chimp-specific	135	7	71.3967074370005	0.4598	0.9315	0.9619	0.9495	0.4486	0.909	1.20162490767061e-61	2.91060881001248e-32	0.639787094426586
chr2	133635427	133636232	Human_hypo_ND	Chimp-specific	806	11	70.7513376110079	0.6827	0.9566	0.923	0.9453	0.7028	0.9512	7.89459229662442e-29	9.05817954748812e-20	0.555435082799703
chr3	130452140	130453059	Human_hypo_ND	Chimp-specific	920	15	69.9163894823107	0.5471	0.9173	0.8028	0.9331	0.4757	0.9216	7.67522163883418e-10	4.50857283645835e-17	0.00801791493775067
chr17	35768432	35769241	Human_hypo_ND	Chimp-specific	810	12	69.3217580429519	0.6327	0.9323	0.9295	0.9386	0.5377	0.9342	9.19057083212652e-21	9.19568465724608e-41	0.0132174969586874
chr1	39705875	39706983	Human_hypo_ND	Chimp-specific	1109	9	66.2970936097711	0.5301	0.897	0.9499	0.9344	0.6914	0.8933	1.28865933733348e-49	2.52895919543374e-36	0.000118987272208523
chr2	115492620	115493876	Human_hypo_ND	Chimp-specific	1257	8	66.019554389753	0.4928	0.8972	0.8456	0.8274	0.597	0.804	2.51108323151982e-40	1.32828917496947e-27	6.14651100980047e-09
chr1	241105215	241107187	Human_hypo_ND	Chimp-specific	1973	12	65.8327350200277	0.707	0.8888	0.8933	0.8343	0.7503	0.9435	1.99412427753088e-47	2.48419190837353e-45	0.105270590916825
chr9	138899001	138899190	Human_hypo_ND	Chimp-specific	190	11	65.5449140217595	0.5278	0.8349	0.8524	0.8515	0.2021	0.7501	6.20284708703589e-21	1.93879562482835e-47	8.11415904326772e-07
chr19	50489229	50489976	Human_hypo_ND	Chimp-specific	748	10	65.4426539169203	0.3905	0.7999	0.6	0.6677	0.1282	0.7939	8.66222235188178e-22	2.56937847975693e-119	8.18074610857728e-25
chr20	43727834	43730241	Human_hypo_ND	Chimp-specific	2408	14	63.7077412011735	0.3443	0.4779	0.7956	0.8025	0.4067	0.5079	2.40230024664622e-07	0.000135584019701408	0.547089085336037
chr3	73596345	73598216	Human_hypo_ND	Chimp-specific	1872	12	63.1237494149394	0.4946	0.8846	0.7723	0.8621	0.5097	0.7694	9.37048731678663e-28	2.41262392838758e-12	0.000382573340539219
chr13	87478129	87479022	Human_hypo_ND	Chimp-specific	894	10	63.0598584566923	0.4884	0.8636	0.7771	0.8992	0.5814	0.9423	1.68806278698168e-11	1.86116842638253e-11	0.773121977673936
chr7	4326272	4326632	Human_hypo_ND	Chimp-specific	361	8	62.2700381241146	0.4148	0.9021	0.8078	0.8679	0.5813	0.9574	1.06013354062617e-35	1.60959180641182e-20	0.512984044882115
chr6	119681704	119682881	Human_hypo_ND	Chimp-specific	1178	12	62.170311160732	0.5001	0.9371	0.8103	0.9293	0.432	0.9193	1.32677530092325e-19	2.44151723918837e-29	0.381831466128981
chr17	60923597	60924320	Human_hypo_ND	Chimp-specific	724	10	61.7905681224611	0.6193	0.9154	0.9171	0.9133	0.6342	0.9161	5.75216393579917e-26	5.91149564233583e-11	0.308007510421315
chr1	183274106	183275152	Human_hypo_ND	Chimp-specific	1047	11	61.2815493327805	0.6487	0.9427	0.8532	0.8931	0.6442	0.9525	5.49568759825293e-22	4.35996615193698e-44	0.122963034509828
chr20	62375057	62375507	Human_hypo_ND	Chimp-specific	451	12	58.8134429222614	0.5537	0.8869	0.838	0.8777	0.5628	0.8952	2.09114551754314e-12	9.01383997572228e-12	0.941024305473991
chr1	55279052	55279590	Human_hypo_ND	Chimp-specific	539	7	58.252693460161	0.5563	0.8725	0.8995	0.6369	0.5422	0.8178	6.7049459102954e-71	2.81759533290021e-50	0.00434687551582778
chr10	82406828	82408306	Human_hypo_ND	Chimp-specific	1479	11	58.2277777013364	0.6371	0.9357	0.9028	0.9376	0.3824	0.8242	6.91797857077613e-23	2.14296291614392e-61	0.000294809071229918
chr14	55765311	55765634	Human_hypo_ND	Chimp-specific	324	11	57.0112335473818	0.5732	0.9711	0.9005	0.9676	0.6094	0.9686	2.14351423848522e-13	2.74256623515997e-21	0.415308535028881
chr5	177926022	177926406	Human_hypo_ND	Chimp-specific	385	8	56.7049440420319	0.56	0.9411	0.9437	0.95	0.5502	0.9104	7.20299798786521e-22	1.71450620466446e-16	0.08829544839004
chr19	3296543	3296761	Human_hypo_ND	Chimp-specific	219	14	56.6769113835284	0.4967	0.8817	0.7595	0.8649	0.415	0.8337	4.41396687225302e-12	4.4059465040916e-13	0.608347896666124
chr2	239271385	239271921	Human_hypo_ND	Chimp-specific	537	8	56.3929737296285	0.4757	0.7041	0.8572	0.7627	0.1616	0.2996	5.57282136294108e-14	2.92132604832189e-05	0.308343313130124
chr18	8608182	8608655	Human_hypo_ND	Chimp-specific	474	9	55.4302949568917	0.2874	0.6932	0.5985	0.7382	0.3047	0.795	2.9066211839836e-14	2.00122046606012e-22	0.0515118698073253
chr9	97750486	97750643	Human_hypo_ND	Chimp-specific	158	8	54.7217882522151	0.6104	0.9567	0.9517	0.9483	0.4644	0.942	1.52868416703206e-37	4.66878822120441e-21	0.0618487770325456
