AN05483_Control_NeuN	X1525_Control_NeuN	X1527_Control_NeuN	X1531_Control_NeuN	X1536_Control_NeuN	X1538_Control_NeuN	X1539_Control_NeuN	X3590_Control_NeuN	X3602_Control_NeuN	X4615_Control_NeuN	ABBY_ND	ANJA_ND	BELEKA_ND	CALLIE_ND	DUNCAN_ND	LULU_ND	LYK_ND	MELISSA_ND	OSSABAW_ND	Roger_ND	YN04-200_ND	YN08-380_ND	YN09-122_ND	YN09-173_ND	YN09-179_ND	YN09-72_ND	YN11-64_ND	YN11-77_ND	YN12-654_ND	YN14-248_ND	AN03398_Control_Olig2	AN15240_Control_Olig2	AN16799_Control_Olig2	X1527_Control_Olig2	X1532_Control_Olig2	X1538_Control_Olig2	X1539_Control_Olig2	X1541_Control_Olig2	X3602_Control_Olig2	X4615_Control_Olig2	ABBY_OD	ANJA_OD	BELEKA_OD	BJORN_OD	CALLIE_OD	DUNCAN_OD	LULU_OD	MELISSA_OD	OSSABAW_OD	Roger_OD	YN04-200_OD	YN08-380_OD	YN09-122_OD	YN09-173_OD	YN09-72_OD	YN11-300_OD	YN11-77_OD	YN11-78_OD	YN12-654_OD	YN14-248_OD
6	0	5	1	7	3	12	4	5	4	10	3	11	15	7	2	13	19	5	10	19	10	4	4	8	18	14	10	14	7	6	6	7	4	5	13	5	10	9	9	7	2	4	3	5	5	3	5	5	16	12	4	10	11	13	7	5	9	7	18
9	11	6	15	7	8	7	13	19	9	8	1	15	12	14	0	13	11	10	14	3	3	1	2	5	14	8	1	7	9	14	25	19	10	15	16	7	17	11	12	5	3	5	5	7	4	2	10	3	23	5	4	9	14	10	2	7	5	7	8
17	11	19	15	11	11	17	13	18	11	19	9	14	15	15	8	10	23	13	16	13	19	13	10	14	21	26	15	20	23	20	20	23	11	18	12	17	22	19	23	8	3	14	2	12	7	3	19	5	19	28	22	18	20	22	15	25	20	20	16
30	25	25	23	20	24	27	21	38	37	21	21	19	25	26	17	12	22	20	28	18	21	24	30	16	41	6	8	11	16	28	41	41	44	32	39	31	29	30	42	34	26	28	14	37	36	11	30	31	49	22	14	33	22	28	12	14	13	22	21
33	14	15	15	14	17	18	24	23	21	15	11	22	22	22	6	18	15	7	28	14	2	20	3	10	26	3	0	9	14	20	18	30	21	14	23	25	28	28	19	15	12	17	12	25	11	9	26	11	16	17	4	29	11	9	4	5	14	10	18
9	5	10	12	6	6	14	10	9	9	8	8	6	9	13	5	13	11	7	12	9	10	9	5	4	4	17	6	14	8	15	12	15	7	19	11	9	8	12	12	9	4	8	1	13	7	1	14	7	11	7	13	11	11	15	20	18	12	11	12
9	6	10	12	6	6	13	10	9	9	8	8	6	8	12	5	13	10	8	12	9	10	9	5	5	3	17	6	13	7	15	12	14	6	18	11	10	8	12	12	9	4	8	1	13	7	1	14	6	11	8	12	12	11	15	19	16	12	11	11
9	6	10	13	6	6	12	10	9	9	8	8	5	8	13	5	14	10	8	12	9	10	9	5	6	3	17	5	13	7	15	12	15	6	18	11	10	8	12	12	8	4	8	1	13	7	1	14	6	11	7	12	12	11	15	18	16	12	11	12
9	7	10	13	6	6	13	10	9	9	8	8	4	9	12	5	14	10	7	12	25	28	9	12	16	28	19	17	22	20	15	12	15	7	19	10	10	8	12	12	8	4	8	1	13	7	1	13	6	11	34	40	30	22	24	30	30	17	21	27
17	37	11	31	18	18	9	17	28	21	20	8	18	20	17	4	9	27	10	31	25	27	9	10	16	27	19	16	23	20	30	26	25	21	37	18	21	29	21	23	13	8	13	3	33	16	5	33	12	25	35	42	30	23	25	27	30	16	22	29
10	9	10	11	5	8	15	10	10	9	8	8	4	7	11	5	14	10	7	12	9	10	7	4	7	3	16	5	12	8	17	13	16	7	21	11	10	8	11	12	8	4	7	1	12	8	1	14	7	12	7	12	13	11	15	18	17	11	12	13
10	9	10	10	6	8	15	10	10	9	8	8	3	6	12	5	14	10	7	12	9	11	7	4	7	4	16	6	12	9	18	13	14	7	21	11	9	8	11	12	8	3	7	1	11	6	1	13	7	15	8	12	15	11	17	19	17	11	12	13
10	9	10	10	6	8	15	9	10	10	6	7	4	6	12	5	13	12	7	10	9	12	8	5	5	4	13	6	12	9	19	13	14	6	20	12	8	8	13	11	8	3	7	1	8	7	1	13	6	16	7	13	16	9	18	19	17	10	11	13
13	36	11	38	22	22	10	17	26	21	7	6	4	7	14	5	14	12	7	11	25	28	9	8	17	29	19	17	22	22	31	29	27	20	38	19	24	33	19	23	8	3	6	1	9	6	1	12	6	17	37	48	34	28	27	27	31	19	23	30
10	10	10	10	6	6	14	11	11	9	8	6	4	7	14	5	13	12	7	11	10	11	6	5	5	2	14	7	11	11	18	12	16	7	20	13	8	9	15	10	9	3	6	1	9	6	2	12	6	17	9	11	17	9	17	21	17	11	12	12
9	10	11	10	7	6	11	11	12	9	7	5	4	7	14	5	14	11	8	10	10	12	8	5	4	2	13	8	11	11	18	13	17	6	18	14	8	9	14	10	9	3	6	1	9	6	2	12	6	17	10	11	16	9	14	21	16	11	12	12
9	12	12	10	7	9	11	9	12	9	7	5	4	8	14	5	14	10	8	8	11	12	10	5	5	3	13	9	12	11	15	12	16	7	20	12	9	9	15	10	8	3	6	0	8	6	3	12	5	16	11	11	17	7	14	21	17	11	11	11
9	13	10	10	7	9	11	9	12	9	8	6	4	8	14	5	14	10	8	8	12	12	10	5	5	4	14	9	12	11	16	13	16	7	20	11	9	9	15	10	8	3	6	0	8	6	3	13	6	15	11	11	17	7	15	21	17	11	11	12
9	13	10	10	7	9	9	8	13	9	7	6	4	8	14	5	13	10	8	8	12	12	12	5	5	4	13	11	13	11	16	12	14	5	19	12	10	9	15	10	7	3	5	0	9	6	3	13	6	17	13	12	18	7	14	20	16	12	12	12
17	35	15	41	22	23	14	22	36	23	21	9	22	29	24	7	13	28	11	37	35	27	17	16	25	31	26	21	28	27	30	32	32	25	44	25	24	30	25	23	20	11	17	3	41	17	7	39	13	32	38	56	33	36	26	33	29	21	27	37
