chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr16	78323721	78325702	Chimp_hypo_OD	Human-specific	1982	27	209.390958244192	0.9199	0.8511	0.924	0.4261	0.944	0.5028	4.43580329366706e-42	0.46171290514159	1.6045888758275e-101
chr5	24613106	24615650	Chimp_hypo_OD	Human-specific	2545	18	175.538188962377	0.6966	0.7678	0.7345	0.3154	0.6994	0.5318	1.58160827535956e-75	2.16651303215862e-17	6.47914119575898e-19
chr20	56817279	56819352	Chimp_hypo_OD	Human-specific	2074	14	170.143664725225	0.9618	0.9484	0.927	0.337	0.951	0.4852	9.61889177861835e-79	0.36649091408515	9.19766857991422e-181
chr4	186425016	186426503	Chimp_hypo_OD	Human-specific	1488	16	157.570358186063	0.941	0.9132	0.9192	0.3393	0.829	0.3874	9.46929963423004e-62	0.00024142177771654	4.1335508991099e-62
chr17	68999334	69000762	Chimp_hypo_OD	Human-specific	1429	20	151.268091243923	0.9181	0.8	0.8868	0.3576	0.7418	0.2316	8.32994523306348e-39	0.219760151484305	1.09022162255915e-36
chr10	128164753	128165279	Chimp_hypo_OD	Human-specific	527	18	147.28828807181	0.8284	0.8798	0.7974	0.398	0.8107	0.2193	1.8146644226293e-57	6.65514560537155e-07	8.97468296590552e-73
chr13	26830010	26831824	Chimp_hypo_OD	Human-specific	1815	19	123.242790439414	0.4791	0.512	0.4004	0.1572	0.3582	0.0692	6.69024896587206e-17	0.00757662086941076	1.470774047422e-75
chr1	233155493	233156543	Chimp_hypo_OD	Human-specific	1051	17	119.506498781431	0.4826	0.5094	0.6448	0.2813	0.5496	0.3615	7.72426754158694e-34	7.79983474212564e-07	7.28489693447633e-12
chr6	345499	346666	Chimp_hypo_OD	Human-specific	1168	18	118.424312836106	0.8572	0.5898	0.8921	0.2579	0.8754	0.4207	2.50293228136645e-54	0.0054402969782957	6.51775672181356e-08
chr16	89600307	89601019	Chimp_hypo_OD	Human-specific	713	10	117.836235293844	0.6483	0.6745	0.783	0.1645	0.5813	0.1975	4.7911683821977e-58	1.5669361781436e-07	4.8466616692641e-33
