chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr15	52229484	52230269	Chimp_hypo_ND	Human-specific	786	17	-124.860308873542	0.9512	0.9334	0.5825	0.9366	0.5946	0.803	1.03902302794949e-24	0.000185858812090859	1.5496249972325e-18
chr17	18860354	18861012	Chimp_hypo_ND	Human-specific	659	15	-108.68666954878	0.9487	0.9475	0.6639	0.9474	0.6528	0.9026	2.70889389919138e-27	0.0768041230267606	8.55707625443068e-36
chr10	12210854	12211774	Chimp_hypo_ND	Human-specific	921	18	-93.6615359082501	0.9233	0.9308	0.5772	0.8307	0.6634	0.918	1.53468152622467e-20	0.285051904515635	2.98450557435537e-29
chr4	185214459	185215352	Chimp_hypo_ND	Human-specific	894	11	-88.8626087393421	0.8367	0.7472	0.4558	0.8252	0.4094	0.7568	1.83628119334522e-22	0.572847477337332	2.26616762632115e-70
chr20	60433664	60434486	Chimp_hypo_ND	Human-specific	823	11	-82.3381736392082	0.9241	0.9347	0.4966	0.8902	0.5629	0.9009	2.65699366438435e-28	0.462644815480492	2.30355420637002e-50
chr1	175970252	175970879	Chimp_hypo_ND	Human-specific	628	9	-81.2436813191466	0.8234	0.9628	0.4563	0.9534	0.4591	0.9688	2.08117975561826e-26	0.316532612400868	4.07019035500536e-47
chr14	52157206	52157946	Chimp_hypo_ND	Human-specific	741	9	-75.0128605471084	0.963	0.9664	0.566	0.9618	0.6117	0.9752	4.25643916038615e-36	0.222126217098513	1.38248326725235e-64
chr9	86773307	86775169	Chimp_hypo_ND	Human-specific	1863	10	-72.3503879956476	0.9192	0.9331	0.6817	0.9421	0.631	0.9164	1.71187677512298e-36	0.651403300182002	2.64020295616066e-38
chr6	17809052	17809480	Chimp_hypo_ND	Human-specific	429	10	-71.0165241425494	0.9347	0.8803	0.7359	0.9366	0.7097	0.9496	4.65229837593151e-25	0.162956529314633	1.08090576145117e-58
chr19	33863332	33863472	Chimp_hypo_ND	Human-specific	141	11	-70.8332053042829	0.9479	0.8661	0.6039	0.9006	0.5468	0.8373	8.39391262249965e-15	0.585503624916566	1.49538983147287e-21
chr20	50236747	50237309	Chimp_hypo_ND	Human-specific	563	10	-68.8317426321208	0.8877	0.9281	0.5481	0.9228	0.6634	0.9032	1.41612119078464e-16	0.00418334096092015	1.87721772493825e-06
chr12	94659087	94659977	Chimp_hypo_ND	Human-specific	891	11	-68.699407951168	0.7658	0.8573	0.4666	0.858	0.511	0.8574	1.56651254581914e-20	0.849415127739672	1.00137914179207e-20
chr17	32855199	32855808	Chimp_hypo_ND	Human-specific	610	10	-66.7074220286031	0.7774	0.8928	0.5064	0.8869	0.3495	0.9058	7.89288747496225e-17	7.04784643818961e-06	7.10047574140676e-53
chr2	237505623	237506491	Chimp_hypo_ND	Human-specific	869	13	-64.2664423605282	0.9057	0.9248	0.7556	0.9158	0.555	0.865	3.05166966313665e-14	2.50499746448678e-06	1.00917600196317e-43
chr4	4377108	4378196	Chimp_hypo_ND	Human-specific	1089	8	-62.6027585367453	0.8811	0.8491	0.4891	0.8413	0.4094	0.5715	2.7833255782429e-61	7.14057465287429e-10	6.11053129126208e-16
chr18	617590	618253	Chimp_hypo_ND	Human-specific	664	13	-60.7335777093035	0.952	0.9161	0.7128	0.8897	0.7096	0.837	5.79535000616983e-30	0.0130601061121898	5.08125962059819e-10
