chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr13	79167595	79169150	Chimp_hyper_OD	Chimp-specific	1556	45	-208.205374311179	0.0781	0.179	0.0742	0.382	0.0532	0.0962	1.22030889017726e-08	6.72931588200175e-19	0.013836559461387
chr12	62583789	62584513	Chimp_hyper_OD	Chimp-specific	725	21	-128.300464625633	0.1461	0.2292	0.2551	0.7041	0.203	0.1639	2.45809784781877e-14	7.86575127890877e-29	0.00363569166126611
chr11	71163268	71163721	Chimp_hyper_OD	Chimp-specific	454	17	-120.91555426748	0.0199	0.0729	0.0865	0.5143	0.0631	0.1519	1.41574217525712e-30	2.12863734788867e-21	0.321549024865583
chr3	68058352	68059731	Chimp_hyper_OD	Chimp-specific	1380	14	-115.87551985052	0.616	0.5092	0.6014	0.9036	0.7869	0.549	1.17995978422998e-22	2.41201004830421e-35	1.2789851067422e-07
chr2	237079076	237079717	Chimp_hyper_OD	Chimp-specific	642	23	-115.249418167402	0.0846	0.2159	0.1015	0.4893	0.1121	0.2936	2.58507240516473e-22	1.35402033200167e-16	0.139745516359204
chr12	131401113	131401736	Chimp_hyper_OD	Chimp-specific	624	18	-111.964502683248	0.22	0.2211	0.2315	0.6332	0.2622	0.0948	2.6052101457905e-18	1.5417514294108e-97	5.17783729625407e-12
chr7	17339577	17342632	Chimp_hyper_OD	Chimp-specific	3056	18	-108.486744418567	0.2638	0.3437	0.281	0.6453	0.3908	0.2763	1.44822338290274e-13	6.28433169215861e-108	4.25713388538114e-11
chr4	147573888	147575774	Chimp_hyper_OD	Chimp-specific	1887	14	-94.7909371008235	0.1206	0.1918	0.2242	0.636	0.1502	0.3582	2.16243359001112e-51	9.8215728418539e-09	2.823847772766e-07
chr15	93208386	93208694	Chimp_hyper_OD	Chimp-specific	309	10	-91.7708610326399	0.0267	0.1808	0.0483	0.6695	0.0193	0.3578	1.68157968213415e-26	8.78125958766031e-09	9.39770395493443e-08
chr18	77719549	77720824	Chimp_hyper_OD	Chimp-specific	1276	13	-91.2123324581616	0.4447	0.3993	0.2306	0.6948	0.4963	0.4449	4.0940880356225e-94	3.84362721049537e-87	5.7311465908375e-06
chr6	89745437	89746385	Chimp_hyper_OD	Chimp-specific	949	11	-87.2510722047234	0.2914	0.4865	0.2254	0.8084	0.3363	0.6126	8.06326461358769e-35	6.64536282098108e-29	0.654944213177592
chr13	79171756	79174591	Chimp_hyper_OD	Chimp-specific	2836	20	-86.093513149777	0.1391	0.2455	0.1011	0.3876	0.1713	0.2703	5.4091042112353e-09	6.20421430658722e-10	0.716362632029622
chr9	128507734	128508080	Chimp_hyper_OD	Chimp-specific	347	9	-82.9132863975999	0.3036	0.1996	0.4282	0.8134	0.3524	0.3584	1.29070988504751e-37	5.70531346116526e-34	0.000114465905455262
chr12	125333267	125334260	Chimp_hyper_OD	Chimp-specific	994	12	-79.8560496668136	0.307	0.3554	0.3076	0.7021	0.2591	0.3943	2.45261643579093e-16	2.107665053885e-10	0.00309461880371956
chr6	134175291	134175799	Chimp_hyper_OD	Chimp-specific	509	16	-77.6271701543254	0.1486	0.1491	0.2768	0.5151	0.0972	0.0649	2.10544796297017e-15	8.73802313854905e-19	0.0639372767379515
chr2	240896990	240898612	Chimp_hyper_OD	Chimp-specific	1623	14	-75.9995776632161	0.472	0.5093	0.3245	0.67	0.4831	0.4053	1.59934467915234e-24	1.95407881197649e-42	0.000143054501842154
chr12	3371308	3371792	Chimp_hyper_OD	Chimp-specific	485	10	-73.3761973769358	0.1853	0.3577	0.281	0.8315	0.3358	0.5166	3.07897149737872e-31	8.8354804852614e-27	0.553241345067978
chr16	89070647	89070824	Chimp_hyper_OD	Chimp-specific	178	14	-70.6073276662694	0.1945	0.0652	0.2353	0.4144	0.2076	0.1124	2.89855693140987e-10	7.26225402825541e-05	0.935555861920246
chr6	136704575	136705501	Chimp_hyper_OD	Chimp-specific	927	12	-69.9865911855387	0.467	0.5206	0.4461	0.7098	0.353	0.3384	7.52105328962814e-09	4.19138338327911e-11	0.305492740279805
chr3	147106455	147106686	Chimp_hyper_OD	Chimp-specific	232	16	-64.8432205119424	0.1246	0.3464	0.1133	0.5588	0.0722	0.1267	4.42171764656952e-13	2.26810727880866e-29	8.19474650423943e-11
chr22	39005152	39005647	Chimp_hyper_OD	Chimp-specific	496	10	-64.7699133091105	0.3209	0.2822	0.416	0.868	0.3363	0.2068	8.91477037302614e-17	1.60115219005804e-23	0.0350311340256109
chr2	158751459	158752009	Chimp_hyper_OD	Chimp-specific	551	13	-63.8793869152307	0.4731	0.5499	0.4353	0.7727	0.4194	0.3069	9.0343329179324e-08	2.05928407520394e-18	1.68274085183293e-06
chr15	101740007	101740264	Chimp_hyper_OD	Chimp-specific	258	6	-62.7641598716779	0.0768	0.3035	0.1005	0.9169	0.1158	0.5603	4.07614640589313e-36	3.92225697980256e-25	3.15904307780936e-05
chr21	38076684	38079203	Chimp_hyper_OD	Chimp-specific	2520	16	-62.0315087660743	0.0566	0.1613	0.0695	0.4905	0.0672	0.1371	1.73467233184155e-42	3.16744105075589e-49	0.0220871487405311
chr2	11672551	11672999	Chimp_hyper_OD	Chimp-specific	449	8	-59.1960942405527	0.4295	0.3035	0.4004	0.7319	0.5667	0.3724	1.10387074040026e-16	1.38336947188174e-30	0.31033172215563
chr12	94683546	94684274	Chimp_hyper_OD	Chimp-specific	729	12	-58.5712515399579	0.3777	0.425	0.3717	0.6532	0.5074	0.4129	8.24639114814843e-11	1.67966285209685e-28	2.6740401526888e-09
