chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_species_HvsC	Bonferroni_species_MvsC	Bonferroni_species_MvsH
chr10	2963540	2964913	human_hyper	Human-specific	1374	19	436.604663151531	0.789	0.919	0.0971	0.2092	0.3021	0.3388	0	1.04328952712795e-13	4.57657492119281e-86
chr1	202896905	202898020	human_hyper	Human-specific	1116	26	428.817174279835	0.8678	0.8607	0.2623	0.2308	0.3858	0.3861	1.87647694804428e-114	0.000241921181807402	5.45528865619341e-246
chr6	28181126	28183831	human_hyper	Human-specific	2706	28	408.903304165499	0.6949	0.6212	0.1946	0.1991	0.2209	0.2222	6.74289176236413e-248	0.173641793444623	3.87145743425804e-140
chr19	46194234	46194702	human_hyper	Human-specific	469	27	384.084937627729	0.5421	0.5571	0.2044	0.184	0.1338	0.0829	1.51540269528237e-110	2.18586895288896e-21	3.46849385637504e-193
chr6	28446330	28447546	human_hyper	Human-specific	1217	34	372.582762596085	0.4223	0.4281	0.1171	0.1144	0.1448	0.1342	5.89160508237272e-45	0.00101025658421892	8.26890915616271e-71
chr4	39182745	39183353	human_hyper	Human-specific	609	13	329.595508818211	0.816	0.7861	0.2764	0.2464	0.2102	0.1868	0	1.10330668134928e-09	0
chr3	46599804	46600503	human_hyper	Human-specific	700	18	308.334900368415	0.8063	0.6288	0.1014	0.1099	0.0836	0.0595	2.36819286154512e-50	1.2345014859743e-07	1.35637885074356e-78
chr3	9886189	9886546	human_hyper	Human-specific	358	13	290.594028010725	0.8727	0.8608	0.1249	0.1307	0.2848	0.4022	1.23816142195131e-123	1.60502031678427e-08	1.3054896541844e-172
chr2	197664770	197665460	human_hyper	Human-specific	691	21	267.268177257229	0.825	0.8396	0.425	0.4583	0.3324	0.3299	8.56317556675338e-76	8.07232981978981e-05	6.93216989557039e-158
chr19	37158895	37160135	human_hyper	Human-specific	1241	11	264.101980762079	0.9003	0.9175	0.1818	0.2777	0.3363	0.432	0	4.30372616541581e-12	4.93026449384597e-264
chr6	91294300	91295769	human_hyper	Human-specific	1470	18	262.499693037209	0.5867	0.7178	0.222	0.3639	0.2476	0.3625	1.45140528625651e-58	0.252839200143215	1.61404088518894e-58
chr1	212963926	212964438	human_hyper	Human-specific	513	13	227.958619339611	0.8839	0.881	0.4159	0.3945	0.5681	0.6101	5.35829534365796e-196	1.32456307578106e-24	4.51554442461484e-121
chr7	99067085	99067970	human_hyper	Human-specific	886	24	217.988853499322	0.6221	0.4504	0.3187	0.2511	0.2132	0.2654	7.03915625681275e-31	0.000528980728540531	4.91235118738429e-32
chr22	49598920	49600393	human_hyper	Human-specific	1474	15	217.637910513254	0.8775	0.8358	0.4432	0.3416	0.6375	0.5806	3.05395972170057e-175	3.26676734124775e-10	2.22739475186181e-74
chr6	27445090	27446072	human_hyper	Human-specific	983	18	211.116480979904	0.3954	0.4787	0.1138	0.1052	0.1804	0.2226	2.0723671141939e-56	4.48001480397875e-18	3.65221982755449e-34
chr8	11533210	11536551	human_hyper	Human-specific	3342	30	205.121192772446	0.4908	0.5137	0.3175	0.3063	0.3803	0.3473	7.1561782652667e-50	0.0979584997198845	2.80690569498493e-28
chr4	184642201	184643622	human_hyper	Human-specific	1422	28	203.680062713298	0.5837	0.6781	0.2797	0.3246	0.1269	0.1034	6.6737817295933e-30	1.00465285395566e-25	3.11821987341795e-67
chr9	763978	764276	human_hyper	Human-specific	299	11	201.001871146603	0.6385	0.6351	0.1013	0.0967	0.066	0.1352	4.23073096093477e-97	0.0143828495979995	1.0645595399349e-74
chr4	174432065	174436086	human_hyper	Human-specific	4022	22	193.152225791646	0.5967	0.3674	0.273	0.1845	0.1327	0.128	1.59202325757389e-44	3.80713567244745e-30	2.84353068169288e-49
chr22	38578293	38578578	human_hyper	Human-specific	286	15	190.61184975511	0.8092	0.7755	0.2902	0.3125	0.3421	0.3735	3.7050472706855e-38	0.034232414326631	1.58739257911868e-61
chr14	21734553	21735594	human_hyper	Human-specific	1042	18	183.22618733669	0.6145	0.7069	0.2361	0.3147	0.2151	0.3972	3.54487368297707e-63	0.0108368365326807	1.97114417282581e-50
chr21	36060515	36060840	human_hyper	Human-specific	326	15	182.04630489052	0.822	0.6144	0.171	0.0829	0.4061	0.1333	1.99753087386227e-48	2.09455274462487e-08	1.07044975807227e-22
chr17	41277925	41278563	human_hyper	Human-specific	639	13	180.811495987755	0.52	0.5721	0.0586	0.0592	0.0029	0.0053	1.20608418682203e-128	5.51475320006531e-21	3.81746683522422e-298
chr8	57030039	57030883	human_hyper	Human-specific	845	21	180.221311198846	0.6456	0.6694	0.4694	0.467	0.301	0.3245	6.68630631546881e-09	0.00161228436848824	1.00008184155753e-39
chr19	39925287	39925925	human_hyper	Human-specific	639	19	177.398109251508	0.5689	0.5146	0.2162	0.2473	0.1507	0.115	1.80960819460076e-44	3.03964977710067e-08	6.10699316745645e-114
chr4	4679342	4680238	human_hyper	Human-specific	897	22	171.489634166836	0.4875	0.5148	0.2198	0.3363	0.0824	0.1271	1.69896600768748e-20	1.18583767735313e-24	1.7724066450998e-147
chr8	11203770	11204355	human_hyper	Human-specific	586	13	163.394858661405	0.7145	0.6142	0.1671	0.2036	0.2216	0.1247	2.45158262022228e-77	0.622826661709335	2.38750186699013e-80
chr1	45279992	45280843	human_hyper	Human-specific	852	20	159.548600409068	0.7482	0.7478	0.4196	0.3709	0.5163	0.5392	6.58320924370445e-98	0.000114164929285542	3.67613656281942e-34
chr8	39187043	39187682	human_hyper	Human-specific	640	9	159.067898909584	0.9635	0.9053	0.6156	0.4432	0.4893	0.4718	4.83786022620176e-219	0.136239432919141	0
chr8	11547686	11549898	human_hyper	Human-specific	2213	22	158.663105312267	0.7032	0.5753	0.4896	0.3268	0.3148	0.2683	4.18434898324791e-64	1.02651095745427e-09	1.17099472419223e-174
chr10	94350456	94351135	human_hyper	Human-specific	680	14	158.198366370463	0.5322	0.5607	0.2343	0.2292	0.1108	0.1977	6.07896262747606e-105	3.49526075153004e-10	4.46011335590407e-120
chr6	28663013	28664418	human_hyper	Human-specific	1406	31	157.184572305155	0.3072	0.3055	0.1124	0.1128	0.1256	0.1129	9.66759530098433e-13	0.329372083866253	2.02809328020502e-14
chr1	221053783	221055964	human_hyper	Human-specific	2182	38	155.768668674775	0.6639	0.8283	0.3656	0.6756	0.4905	0.7511	7.31513801423713e-17	0.027561441744743	0.013180841237656
chr2	20190319	20191058	human_hyper	Human-specific	740	11	154.300920911018	0.3802	0.3939	0.1225	0.1357	0.2052	0.2135	6.79938694629356e-111	2.92031473543929e-08	1.73799469946647e-73
chr10	92630511	92631145	human_hyper	Human-specific	635	14	153.67096156066	0.5899	0.6303	0.3453	0.2766	0.1113	0.0588	1.13060069411051e-34	6.81453198175742e-87	3.54244386288816e-170
chr11	73309852	73310427	human_hyper	Human-specific	576	19	153.600685148386	0.3718	0.4169	0.2044	0.2131	0.0951	0.1442	1.57011625956345e-39	6.59626366007533e-08	7.8293379911433e-95
chr7	117118799	117119508	human_hyper	Human-specific	710	21	153.191718065033	0.4282	0.6033	0.2726	0.3673	0.33	0.3156	6.25213471316938e-21	0.00358414807366063	4.37832634336879e-06
chr2	114736466	114738340	human_hyper	Human-specific	1875	9	145.74963507342	0.7339	0.781	0.2789	0.3935	0.3204	0.3098	6.30090366498776e-135	0.0190999012463633	4.12079367121125e-198
chr6	41068173	41069208	human_hyper	Human-specific	1036	14	145.726655811782	0.8793	0.8685	0.5981	0.6377	0.0326	0.04	5.27981240172067e-64	7.7533188265941e-229	0
chr6	55141999	55142325	human_hyper	Human-specific	327	9	142.108599955533	0.6572	0.5198	0.2491	0.049	0.0891	0.0442	3.52348144498217e-108	8.26792313084891e-06	1.98906399995469e-229
chr15	89149600	89150842	human_hyper	Human-specific	1243	17	140.646989260552	0.341	0.6133	0.082	0.3375	0.1425	0.1849	1.92693058163927e-77	0.983669369110716	2.02033614950311e-35
