chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr2	89157502	89161425	Chimp_hypo_OD	Chimp-specific	3924	40	530.5614188135	0.948	0.8842	0.9296	0.1693	0.941	0.8742	6.35850459315615e-80	1.09504554991138e-72	0.853769884738243
chr10	1772048	1775313	Chimp_hypo_OD	Chimp-specific	3266	49	360.305191101881	0.6088	0.585	0.6448	0.1791	0.6186	0.6843	7.19737654961694e-26	4.5565991808015e-43	0.0886793589384114
chr3	45835120	45837437	Chimp_hypo_OD	Chimp-specific	2318	28	263.512441612035	0.5604	0.6717	0.5662	0.1582	0.5233	0.5153	6.56471827787457e-42	3.30270708166465e-25	6.33658598190839e-07
chr2	208198840	208200824	Chimp_hypo_OD	Chimp-specific	1985	24	231.738211705912	0.5577	0.6738	0.5839	0.2085	0.6094	0.7758	4.47854034095365e-26	1.18321486270857e-27	0.0438127840467072
chr10	18348393	18349499	Chimp_hypo_OD	Chimp-specific	1107	24	222.752087663497	0.6421	0.8241	0.6793	0.3528	0.4898	0.7672	1.43496309892356e-59	1.92814741264364e-48	0.120846290959452
chr6	166259598	166260513	Chimp_hypo_OD	Chimp-specific	916	22	210.78004257961	0.7282	0.7869	0.813	0.2324	0.7825	0.8588	1.01113411702005e-48	6.38394032691026e-99	0.42115998898193
chr13	67410614	67413486	Chimp_hypo_OD	Chimp-specific	2873	23	191.63639935009	0.8154	0.7711	0.9169	0.4995	0.8103	0.8727	9.33260573124334e-47	1.69633657551073e-53	7.26185024640988e-06
chr8	102814183	102815098	Chimp_hypo_OD	Chimp-specific	916	15	176.345378314946	0.926	0.904	0.8976	0.1999	0.8331	0.6366	1.22434288081487e-61	3.04123207096764e-23	2.84564316450205e-07
chr10	1703531	1705882	Chimp_hypo_OD	Chimp-specific	2352	18	161.341453743822	0.8195	0.9054	0.8042	0.41	0.8216	0.9079	5.59964990926986e-43	2.27404516910628e-41	0.986411243478921
chr3	194666543	194667265	Chimp_hypo_OD	Chimp-specific	723	14	153.803152457007	0.9549	0.9327	0.9177	0.3679	0.9627	0.9407	4.35121646140273e-123	6.00272647131176e-146	0.69303624135421
chr3	60978153	60979042	Chimp_hypo_OD	Chimp-specific	890	13	148.250723685235	0.9484	0.7982	0.9104	0.1941	0.9588	0.958	2.94774841458064e-89	1.24003633602219e-150	5.07108955742713e-30
chr20	46342475	46343004	Chimp_hypo_OD	Chimp-specific	530	20	146.646039966388	0.8905	0.6145	0.8593	0.1135	0.8243	0.378	1.58118617144727e-12	1.95796221088431e-08	0.00236573610749481
chr10	84900745	84903704	Chimp_hypo_OD	Chimp-specific	2960	11	145.848787755266	0.8079	0.8736	0.8463	0.3456	0.8531	0.8929	1.60933116196545e-95	9.86230471180429e-101	0.761643129223807
chr18	77641174	77641653	Chimp_hypo_OD	Chimp-specific	480	14	144.850847032637	0.9101	0.7137	0.9212	0.2288	0.9746	0.9643	6.52957412743051e-38	1.33844710947119e-62	4.6580813972055e-16
chr17	42051117	42051667	Chimp_hypo_OD	Chimp-specific	551	15	144.102399136162	0.9623	0.846	0.9434	0.3	0.9626	0.8795	1.6506975770738e-59	1.41945716126202e-48	0.118623004045663
chr2	65958526	65959217	Chimp_hypo_OD	Chimp-specific	692	15	142.166219497995	0.9488	0.7911	0.8434	0.1165	0.8524	0.5942	3.38176630357848e-53	1.0073125180095e-37	0.236369664425791
chr19	57514061	57514552	Chimp_hypo_OD	Chimp-specific	492	16	141.715090637664	0.8916	0.6429	0.8852	0.1742	0.9281	0.6891	4.52811370513392e-27	7.85348255154801e-27	0.146575282057034
chr13	34237844	34238504	Chimp_hypo_OD	Chimp-specific	661	12	139.689080494555	0.9504	0.901	0.8255	0.1828	0.9273	0.8407	1.04346612709456e-111	2.28186670712365e-90	0.0945796328413326
chr2	107747897	107749449	Chimp_hypo_OD	Chimp-specific	1553	21	135.128396990006	0.7045	0.6555	0.7156	0.292	0.7996	0.8538	2.03702225915049e-17	2.28170719743045e-35	3.76985346409114e-05
chr18	60729255	60731000	Chimp_hypo_OD	Chimp-specific	1746	13	134.107903805046	0.8764	0.8126	0.9235	0.3831	0.9526	0.9215	1.36627266931918e-63	2.06705529223296e-80	0.0770091438880555
chr10	114513501	114514569	Chimp_hypo_OD	Chimp-specific	1069	13	132.93496123049	0.9216	0.8675	0.9261	0.2979	0.9214	0.6922	7.49963598069832e-54	1.59842455429906e-18	1.54190212870894e-12
chr8	54657541	54658893	Chimp_hypo_OD	Chimp-specific	1353	13	128.732543535947	0.8881	0.8121	0.8678	0.2194	0.8686	0.8524	1.34048204026257e-39	1.5389913609189e-44	0.0976722026165845
chr13	112264226	112265180	Chimp_hypo_OD	Chimp-specific	955	15	124.450373838971	0.8995	0.74	0.9133	0.2907	0.9114	0.7695	1.73028111315492e-29	2.30734751118042e-63	0.103569261928273
chr17	19637090	19637804	Chimp_hypo_OD	Chimp-specific	715	11	123.721264474886	0.9281	0.9478	0.9358	0.3055	0.9568	0.9639	1.86291649082191e-55	6.64624760400958e-67	0.872749583411481
