chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_interaction_HvsC	Bonferroni_interaction_MvsC	Bonferroni_interaction_MvsH
chr7	2328984	2329374	Chimp_hyper_OD	Human-specific	391	10	-100.776893557084	0.1563	0.2317	0.2661	0.8793	0.2439	0.7921	1.8450044474485e-24	0.0854456617874886	1.88889510810686e-17
chr18	55914848	55915306	Chimp_hyper_OD	Human-specific	459	12	-87.3213559126278	0.036	0.1287	0.1202	0.7486	0.1203	0.5903	8.35615949620793e-32	0.00495206447437561	2.49971930446781e-19
chr12	32293594	32293995	Chimp_hyper_OD	Human-specific	402	10	-85.5822425430184	0.1785	0.1441	0.3201	0.7762	0.1798	0.5532	8.09880121051311e-22	0.135860938130865	1.07838719921033e-20
chr17	80560940	80561405	Chimp_hyper_OD	Human-specific	466	13	-82.8297715251463	0.6395	0.6749	0.5843	0.93	0.663	0.9386	9.69107952760332e-13	0.247159819035718	4.01376957797813e-11
chr4	21948807	21949584	Chimp_hyper_OD	Human-specific	778	14	-81.7982457845435	0.2508	0.2704	0.3732	0.7858	0.2461	0.6049	1.28637755941985e-10	0.680220370397895	6.71996119480515e-26
chr2	237073688	237075068	Chimp_hyper_OD	Human-specific	1381	15	-78.9227139741259	0.13	0.2433	0.2075	0.7288	0.1812	0.6749	5.98336463633229e-29	0.0313724725126436	1.42289082141284e-31
chr14	90868869	90870298	Chimp_hyper_OD	Human-specific	1430	15	-78.5436383789745	0.0631	0.3162	0.0941	0.6463	0.1518	0.8804	1.79695087591485e-16	1.03787246590237e-07	8.64279728736685e-41
chr10	116751892	116752547	Chimp_hyper_OD	Human-specific	656	10	-77.6253785282522	0.4947	0.6286	0.3657	0.9052	0.5163	0.9573	1.07444234508169e-30	0.0806566998749704	5.85541416800406e-16
chr4	7793839	7794658	Chimp_hyper_OD	Human-specific	820	12	-73.4676988380692	0.7572	0.6681	0.6163	0.8459	0.6209	0.916	5.6727296892402e-23	7.84234400157856e-05	1.56037031711667e-52
chr14	99731034	99731472	Chimp_hyper_OD	Human-specific	439	10	-72.4716260012345	0.6086	0.51	0.5882	0.8625	0.6421	0.9208	1.22100084735675e-10	0.319724758515905	1.36900511740927e-19
chr2	11546821	11547048	Chimp_hyper_OD	Human-specific	228	9	-71.5446217414743	0.167	0.489	0.1897	0.9135	0.1464	0.8599	4.23714391967675e-23	0.711165997358559	2.69858671803663e-36
chr10	43686143	43686601	Chimp_hyper_OD	Human-specific	459	5	-68.7073408241178	0.1619	0.1635	0.2441	0.9223	0.1588	0.5847	5.42188149591553e-57	2.90427038613718e-15	1.33458775059908e-29
chr14	88032878	88034460	Chimp_hyper_OD	Human-specific	1583	11	-68.0124304275971	0.4992	0.4588	0.403	0.6824	0.388	0.7296	2.49488439145101e-10	0.101465255006394	2.59123541539138e-33
chr1	245329660	245330018	Chimp_hyper_OD	Human-specific	359	9	-64.5745353588401	0.204	0.1085	0.4704	0.8362	0.5486	0.764	2.77673248078244e-30	7.75947854700031e-05	1.18050251817631e-29
chr22	18452040	18452559	Chimp_hyper_OD	Human-specific	520	11	-64.4804439471647	0.4198	0.441	0.611	0.952	0.5314	0.8243	3.58342416839261e-22	0.187061797117351	6.46354093905389e-18
chr10	78931951	78932787	Chimp_hyper_OD	Human-specific	837	10	-62.2266603836238	0.3241	0.4053	0.2838	0.7466	0.3003	0.7332	7.47771354317871e-28	0.308314725506423	1.05668880444447e-19
chr16	3031669	3032281	Chimp_hyper_OD	Human-specific	613	11	-62.1206525329335	0.5159	0.5132	0.4338	0.6318	0.7501	0.9082	1.42579338705098e-15	0.54643714228456	1.22161629438397e-05
chr9	135460460	135460977	Chimp_hyper_OD	Human-specific	518	14	-61.3455263481446	0.1298	0.168	0.2722	0.5601	0.256	0.6183	5.885977581611e-16	0.259118376345161	3.68362784540291e-09
chr19	2094514	2094854	Chimp_hyper_OD	Human-specific	341	13	-60.7002487892588	0.1885	0.3336	0.3323	0.7954	0.2815	0.6594	2.06882787258692e-07	0.147167975803141	4.83967538356286e-07
chr6	158455183	158455845	Chimp_hyper_OD	Human-specific	663	7	-59.3388160179355	0.4013	0.339	0.5571	0.9284	0.4128	0.933	2.11117087762426e-24	9.17795898214062e-07	3.04854652569527e-56
chr12	125259193	125259535	Chimp_hyper_OD	Human-specific	343	8	-58.674781041973	0.0588	0.0576	0.1677	0.6547	0.2431	0.6522	4.05648744126767e-26	0.240063565531089	1.90798998311809e-35
chr10	15224891	15225622	Chimp_hyper_OD	Human-specific	732	8	-57.185294739389	0.1834	0.3638	0.1417	0.5997	0.2501	0.6836	8.26326037173753e-19	0.0882692962442841	9.77120979496626e-11
chr17	5846649	5847135	Chimp_hyper_OD	Human-specific	487	10	-56.931920511217	0.5138	0.451	0.7296	0.9328	0.7253	0.8879	1.30539750812812e-09	0.302192932270322	7.90783490799809e-09
chr9	93955272	93955398	Chimp_hyper_OD	Human-specific	127	5	-56.7603380190788	0.0382	0.0066	0.1066	0.7538	0.221	0.4803	1.47230064895358e-65	4.06846233646107e-15	1.30176584368403e-15
chr18	35158922	35159011	Chimp_hyper_OD	Human-specific	90	7	-56.6236590436313	0.01	0.0689	0.0196	0.3684	0.0315	0.2907	5.44563005783899e-21	0.0161914279398198	1.02853484872229e-10
chr6	158861540	158862074	Chimp_hyper_OD	Human-specific	535	7	-56.1868261735611	0.5319	0.4184	0.6054	0.9194	0.387	0.9338	1.73033924320605e-24	4.4475347769244e-06	3.23553447983009e-49
