Category	Term	chr	str	end	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD
species	Human_specific_hyper	chr10	2963540	2964913	1374	19	436.604663151531	0.789	0.919	0.0971	0.2092	0.3021	0.3388
species	Human_specific_hyper	chr1	202896905	202898020	1116	26	428.817174279835	0.8678	0.8607	0.2623	0.2308	0.3858	0.3861
species	Human_specific_hyper	chr6	28181126	28183831	2706	28	408.903304165499	0.6949	0.6212	0.1946	0.1991	0.2209	0.2222
species	Human_specific_hyper	chr19	46194234	46194702	469	27	384.084937627729	0.5421	0.5571	0.2044	0.184	0.1338	0.0829
species	Human_specific_hyper	chr6	28446330	28447546	1217	34	372.582762596085	0.4223	0.4281	0.1171	0.1144	0.1448	0.1342
species	Human_specific_hyper	chr4	39182745	39183353	609	13	329.595508818211	0.816	0.7861	0.2764	0.2464	0.2102	0.1868
species	Human_specific_hyper	chr3	46599804	46600503	700	18	308.334900368415	0.8063	0.6288	0.1014	0.1099	0.0836	0.0595
species	Human_specific_hyper	chr3	9886189	9886546	358	13	290.594028010725	0.8727	0.8608	0.1249	0.1307	0.2848	0.4022
species	Human_specific_hyper	chr2	197664770	197665460	691	21	267.268177257229	0.825	0.8396	0.425	0.4583	0.3324	0.3299
species	Human_specific_hyper	chr19	37158895	37160135	1241	11	264.101980762079	0.9003	0.9175	0.1818	0.2777	0.3363	0.432
species	Human_specific_hyper	chr6	91294300	91295769	1470	18	262.499693037209	0.5867	0.7178	0.222	0.3639	0.2476	0.3625
species	Human_specific_hyper	chr1	212963926	212964438	513	13	227.958619339611	0.8839	0.881	0.4159	0.3945	0.5681	0.6101
species	Human_specific_hyper	chr7	99067085	99067970	886	24	217.988853499322	0.6221	0.4504	0.3187	0.2511	0.2132	0.2654
species	Human_specific_hyper	chr22	49598920	49600393	1474	15	217.637910513254	0.8775	0.8358	0.4432	0.3416	0.6375	0.5806
species	Human_specific_hyper	chr6	27445090	27446072	983	18	211.116480979904	0.3954	0.4787	0.1138	0.1052	0.1804	0.2226
species	Human_specific_hyper	chr8	11533210	11536551	3342	30	205.121192772446	0.4908	0.5137	0.3175	0.3063	0.3803	0.3473
