chr	str	end	type	specificity	length	nCG	areaStat	Human_ND	Human_OD	Chimp_ND	Chimp_OD	Macaq_ND	Macaq_OD	Bonferroni_species_HvsC	Bonferroni_species_MvsC	Bonferroni_species_MvsH
chr6	28748114	28753461	human_hypo	Human-specific	5348	72	-908.879132934016	0.1069	0.1196	0.5565	0.5642	0.4058	0.4064	4.22152707089058e-73	0.000185489464078885	9.96856615494992e-231
chr18	37379104	37380818	human_hypo	Human-specific	1715	28	-535.68883126632	0.3537	0.251	0.9451	0.9367	0.9541	0.9281	7.95623421287492e-188	0.68753080726626	3.4444057503254e-161
chr2	26464894	26466485	human_hypo	Human-specific	1592	28	-504.548368190594	0.3194	0.218	0.8528	0.7739	0.6937	0.4998	2.75041464589133e-233	3.85839424818281e-56	2.62382116118695e-56
chr4	60399	68529	human_hypo	Human-specific	8131	38	-455.325348218027	0.7254	0.7102	0.938	0.9436	0.9351	0.939	3.77748579047552e-280	0.736140872325427	4.63933552629039e-219
chr10	27445078	27445618	human_hypo	Human-specific	541	27	-346.319747289297	0.19	0.2116	0.5715	0.6385	0.7355	0.7423	6.55799295221221e-118	0.140635743932221	4.89359332689627e-77
chr21	38629494	38632250	human_hypo	Human-specific	2757	37	-323.848838532986	0.1325	0.1811	0.4507	0.4343	0.4968	0.5033	2.64310936908818e-116	0.00214479800550027	2.1282118805674e-107
chr2	115419531	115419826	human_hypo	Human-specific	296	12	-295.609396481959	0.0835	0.0968	0.95	0.918	0.9273	0.8936	0	0.0942895089376527	0
chr6	149967906	149968963	human_hypo	Human-specific	1058	26	-292.051123939645	0.3375	0.249	0.6367	0.5893	0.5877	0.556	6.07454855572445e-69	3.37691628897126e-09	1.62213436847175e-19
chr3	112281626	112282347	human_hypo	Human-specific	722	20	-288.694337877196	0.2805	0.3618	0.7849	0.7472	0.6846	0.7136	2.59231392320889e-116	0.0341191100537647	6.23920577936965e-56
chr6	28707833	28709877	human_hypo	Human-specific	2045	29	-248.797669399272	0.5013	0.557	0.8467	0.832	0.8149	0.8095	1.31886335791181e-41	0.00377586437417479	2.45872445835716e-21
chr13	44715485	44717469	human_hypo	Human-specific	1985	22	-220.778663022331	0.0729	0.0822	0.5096	0.4732	0.4631	0.3579	0	0.360759212496168	3.50148444594208e-122
chr15	101833363	101834236	human_hypo	Human-specific	874	20	-215.875722770761	0.5533	0.5076	0.8574	0.8257	0.8052	0.76	6.03545880886546e-119	1.77545207849997e-06	1.38888291301652e-76
chr3	130444805	130450066	human_hypo	Human-specific	5262	16	-208.818044067658	0.3783	0.3398	0.9176	0.8675	0.8871	0.8682	3.02673928343018e-132	0.0357563843132124	5.35764295790293e-108
chr11	123121412	123123802	human_hypo	Human-specific	2391	19	-207.87741151402	0.3493	0.4386	0.7877	0.7065	0.574	0.6645	9.61940256738604e-79	1.63577691429875e-07	6.50555481593369e-46
chr11	76758225	76759106	human_hypo	Human-specific	882	15	-207.508056143804	0.1135	0.1195	0.4872	0.5049	0.7997	0.6821	4.85521861567035e-80	3.01696174078256e-38	4.81400332369222e-289
chr3	191781260	191781868	human_hypo	Human-specific	609	14	-202.830604560757	0.3924	0.3244	0.8653	0.7634	0.948	0.9468	1.6352244578619e-165	1.15076788565617e-29	0
chr6	137838385	137841033	human_hypo	Human-specific	2649	22	-199.144866466761	0.5757	0.4146	0.8856	0.697	0.8367	0.6693	2.1609699594027e-131	1.39495162944458e-05	6.21530194274256e-109
chr15	101388882	101390385	human_hypo	Human-specific	1504	12	-196.273660747113	0.4216	0.3899	0.9519	0.9503	0.9527	0.8968	4.21125210198346e-153	0.0039609843060431	4.88853999801369e-126
chr4	187066801	187068264	human_hypo	Human-specific	1464	19	-194.723370176778	0.2791	0.4866	0.5352	0.8145	0.7191	0.7894	1.24884899151255e-73	0.0128593612972778	1.29109011870804e-62
chr20	57979344	57980834	human_hypo	Human-specific	1491	22	-194.39610885543	0.4962	0.3179	0.7948	0.5521	0.8452	0.7066	1.97215386811657e-88	2.48531064853321e-17	6.40967116732625e-251
chr6	28865101	28866495	human_hypo	Human-specific	1395	22	-190.902075206817	0.4339	0.5201	0.6955	0.8359	0.819	0.8347	3.26783936994747e-36	0.0261756177207058	3.32841649948855e-25
chr18	74061289	74061575	human_hypo	Human-specific	287	14	-189.139773021094	0.2889	0.2716	0.6146	0.7188	0.7439	0.789	2.24521750527412e-110	6.47252664892122e-09	7.23723760286158e-196
chr8	42947312	42947797	human_hypo	Human-specific	486	16	-189.091592532409	0.1853	0.2645	0.6296	0.7435	0.9116	0.9454	3.35139217321283e-71	1.08710161325686e-38	2.60644650844358e-200
chr14	74768152	74768576	human_hypo	Human-specific	425	16	-187.245521472627	0.2704	0.3633	0.7179	0.7721	0.9689	0.962	8.75698953776294e-90	2.85999976422391e-74	1.85329904474071e-231
chr4	3748930	3749953	human_hypo	Human-specific	1024	15	-186.924053737306	0.5584	0.2824	0.9243	0.8956	0.9451	0.8992	9.31747853089231e-128	0.0624703492865746	1.23954204378545e-179
chr6	271003	276452	human_hypo	Human-specific	5450	21	-182.773292817475	0.7486	0.7299	0.9033	0.9212	0.9358	0.8833	4.37206784259496e-28	0.420017762073356	2.47679248657898e-20
chr6	28754535	28756808	human_hypo	Human-specific	2274	17	-182.067720779671	0.2993	0.2511	0.6574	0.6371	0.5288	0.5018	4.44906991159034e-84	3.92990798129872e-09	4.44155092019777e-34
chr5	3326024	3326764	human_hypo	Human-specific	741	29	-176.797185811312	0.6039	0.4346	0.7799	0.6787	0.8259	0.6415	3.90456941146726e-21	0.0835805155788144	3.92600962909134e-17
chr21	40759324	40760975	human_hypo	Human-specific	1652	16	-174.601470564028	0.1564	0.1357	0.597	0.6162	0.5607	0.5727	1.98300495571179e-108	0.0209921697201369	2.62078925085711e-123
chr5	3709041	3710552	human_hypo	Human-specific	1512	22	-173.750494025008	0.6335	0.3968	0.8258	0.6046	0.8699	0.726	2.93772226575e-76	5.70533362193532e-09	3.9084244548899e-111
chr20	47664018	47664732	human_hypo	Human-specific	715	13	-171.669938662501	0.2429	0.2352	0.7226	0.7148	0.8519	0.8352	8.98324995366753e-111	4.99673290539436e-21	2.45839318825978e-234
chr20	40322576	40323285	human_hypo	Human-specific	710	19	-167.921272793255	0.5909	0.4314	0.8138	0.7512	0.9645	0.9354	1.39149439930374e-45	1.77461285394678e-122	2.03221408434269e-245
chr16	67515905	67516250	human_hypo	Human-specific	346	14	-167.59235446216	0.2545	0.2133	0.62	0.5831	0.6636	0.5383	2.59147357702371e-91	0.096658272122084	5.62007912864243e-108
chr6	27269813	27270493	human_hypo	Human-specific	681	29	-166.234583314605	0.4441	0.4625	0.6425	0.7216	0.8868	0.8578	1.16253518716444e-16	1.29105513532434e-15	2.85956098178057e-36
chr2	179387709	179388843	human_hypo	Human-specific	1135	18	-165.510181897852	0.3106	0.3709	0.6885	0.6894	0.9063	0.9469	1.62784553789905e-49	1.42983608468334e-44	1.68890977135734e-248
chr10	77871450	77871878	human_hypo	Human-specific	429	15	-163.724007956513	0.4495	0.3497	0.8213	0.7337	0.7186	0.6648	4.89579652260594e-56	0.00688859999776401	1.38585916154088e-59
chr16	86331212	86332682	human_hypo	Human-specific	1471	12	-162.715097626135	0.3226	0.2065	0.8166	0.725	0.8377	0.6916	4.54141667405282e-183	0.451588086973782	8.56198082580962e-153
chr6	125855158	125856044	human_hypo	Human-specific	887	15	-160.990570410592	0.5756	0.4249	0.8851	0.8005	0.8757	0.836	3.6571733001956e-120	0.153627220956141	1.85492375141666e-128
chr3	138151597	138152837	human_hypo	Human-specific	1241	17	-160.329922727046	0.5951	0.4431	0.862	0.8452	0.97	0.9239	1.70457478347803e-46	3.44178914588374e-07	1.91755369943409e-98
chr5	174115485	174117596	human_hypo	Human-specific	2112	28	-160.115553576235	0.2828	0.3228	0.5387	0.4789	0.4654	0.4032	2.24522599663739e-73	1.22200972282642e-07	1.73375148845838e-17
chr2	242627185	242627866	human_hypo	Human-specific	682	17	-159.028598917705	0.2151	0.3359	0.4953	0.6133	0.3672	0.5536	1.38064453630597e-46	1.66734886485287e-05	5.40072803028987e-26
chr12	100556837	100558015	human_hypo	Human-specific	1179	13	-158.372781567536	0.2203	0.0586	0.6823	0.3032	0.9464	0.6287	1.24744697718351e-90	9.05078448582134e-39	5.76998623210548e-145
chr12	130653641	130655579	human_hypo	Human-specific	1939	23	-157.847648752308	0.6814	0.5557	0.8864	0.7454	0.8957	0.7653	3.36177272457901e-62	0.00032733182670879	8.00369796763584e-86
chr1	112879557	112880109	human_hypo	Human-specific	553	11	-155.849301098786	0.4431	0.5675	0.8614	0.9163	0.9604	0.9106	7.47596417649963e-86	0.00497303819320471	3.8918102307091e-63
chr14	94822030	94822401	human_hypo	Human-specific	372	9	-151.294322815241	0.5257	0.3768	0.9342	0.8375	0.755	0.6792	2.23153185993041e-293	4.63538815977735e-16	1.34622154807217e-56
chr22	31317498	31317960	human_hypo	Human-specific	463	14	-150.287538312193	0.5011	0.3343	0.901	0.8446	0.9287	0.8797	3.0180601670432e-47	0.00572613226333823	4.07509011598474e-58
chr7	157128934	157129116	human_hypo	Human-specific	183	13	-149.740467385544	0.1704	0.198	0.4738	0.5762	0.607	0.6372	1.16755468905035e-53	0.00025842540011638	7.527398520962e-70
chr1	181283348	181284677	human_hypo	Human-specific	1330	13	-148.754844304564	0.3565	0.2966	0.6995	0.699	0.7926	0.6886	1.23907618461504e-107	0.108261108808211	1.71384291507186e-120
chr5	127417557	127418282	human_hypo	Human-specific	726	11	-146.079323721534	0.125	0.3153	0.5132	0.7529	0.7954	0.8675	1.77004111132814e-68	1.79482411019008e-10	1.58241822249712e-127
chr16	78538323	78540344	human_hypo	Human-specific	2022	26	-146.036412741682	0.609	0.2961	0.7417	0.5358	0.8411	0.507	1.73398438008809e-16	0.734582281085618	6.51300150750148e-19
chr2	172779719	172780456	human_hypo	Human-specific	738	12	-145.890444462035	0.211	0.2817	0.6375	0.635	0.7269	0.5682	6.63676630147347e-130	0.125345982685089	2.20538878726295e-55
chr17	27168627	27169001	human_hypo	Human-specific	375	12	-145.36133112485	0.3322	0.1517	0.7153	0.6215	0.7152	0.5349	3.47509821951341e-74	0.641834258405872	1.00623546719568e-65
chr8	52812554	52813598	human_hypo	Human-specific	1045	22	-144.78530049367	0.2414	0.2379	0.3468	0.4367	0.456	0.5882	1.27624611824606e-32	0.00378223497943613	7.69136907180509e-78
chr16	84219460	84220073	human_hypo	Human-specific	614	24	-144.184868975348	0.3048	0.355	0.4997	0.4864	0.526	0.4926	2.21646989172816e-24	0.84352993768199	1.39071548275202e-29
chr10	23383015	23385824	human_hypo	Human-specific	2810	18	-144.05716848556	0.1091	0.1748	0.4264	0.5769	0.5188	0.6758	2.95434082189542e-125	4.27226934796278e-26	2.93927407059181e-263
chr2	200819257	200819443	human_hypo	Human-specific	187	8	-143.951386071805	0.2721	0.2254	0.8278	0.8187	0.6656	0.6633	5.00710369019992e-101	2.05229017453854e-20	9.38600853045782e-54
chr8	14166401	14167229	human_hypo	Human-specific	829	11	-143.736509651924	0.3575	0.637	0.8391	0.9317	0.9639	0.954	6.05032199705286e-61	3.00168814794205e-06	8.84114585698763e-48
chr8	146011252	146011891	human_hypo	Human-specific	640	10	-143.488597536796	0.0491	0.1183	0.7068	0.6971	0.7018	0.7363	1.95595803947169e-254	0.977767178193398	2.35905906963033e-226
chr16	5182986	5183768	human_hypo	Human-specific	783	13	-142.803899645286	0.7399	0.4051	0.9612	0.8108	0.889	0.781	1.42068776301841e-77	1.90555693655271e-10	5.94264899558527e-31
chr10	25160097	25162430	human_hypo	Human-specific	2334	25	-141.656718324317	0.2371	0.3198	0.4544	0.503	0.778	0.6318	4.23766905730654e-40	1.79730450988769e-23	7.81584378022069e-58
chr20	25513870	25515978	human_hypo	Human-specific	2109	19	-141.628461385952	0.833	0.2055	0.9331	0.5712	0.9502	0.8183	1.45257467598372e-28	1.67405715332599e-09	1.44148841331009e-20
chr13	112872619	112874280	human_hypo	Human-specific	1662	22	-141.2914873497	0.6426	0.3504	0.7964	0.5654	0.7681	0.7022	6.3445084139015e-19	0.171221241053793	5.74516433404938e-14
chr6	5936410	5938984	human_hypo	Human-specific	2575	16	-141.023686816561	0.6929	0.5773	0.8103	0.7228	0.9517	0.8639	1.2316292616878e-34	7.7892535597765e-22	5.84853572655663e-107
chr13	28555202	28557055	human_hypo	Human-specific	1854	17	-140.248760758041	0.5516	0.3249	0.8346	0.5188	0.7511	0.4402	1.62784553789905e-49	2.19334646593976e-05	5.17965540840146e-23
chr2	178499264	178499800	human_hypo	Human-specific	537	15	-139.545519294136	0.4023	0.4455	0.921	0.9613	0.9495	0.9599	4.60258348167167e-41	0.00108481954466622	2.04245013320088e-57
chr13	23309578	23310466	human_hypo	Human-specific	889	17	-139.219586195148	0.7473	0.6094	0.9526	0.9232	0.9473	0.9141	5.40649671894843e-37	0.75368679575121	4.21189096078489e-37
chr1	36108166	36108739	human_hypo	Human-specific	574	12	-138.528186809107	0.3785	0.5014	0.783	0.7913	0.9354	0.8624	2.55750687123461e-72	2.10937920186923e-13	2.76530680064896e-50
chr17	17107053	17110956	human_hypo	Human-specific	3904	16	-138.253652715125	0.2907	0.2706	0.8489	0.7817	0.7247	0.5892	1.12920429469564e-151	2.58033254290185e-18	3.16980627544733e-53
chr11	94244934	94245434	human_hypo	Human-specific	501	16	-137.343204977852	0.4547	0.5244	0.691	0.7526	0.589	0.7659	5.11297035777772e-37	0.10909555568788	1.71774599116784e-28
chr12	105112178	105113175	human_hypo	Human-specific	998	10	-135.789304717902	0.5903	0.5258	0.8596	0.7383	0.888	0.6862	9.59977621152145e-66	0.321876571114254	2.52519082898042e-29
chr16	48644360	48644730	human_hypo	Human-specific	371	12	-135.522411889286	0.2702	0.3102	0.7546	0.7517	0.7501	0.7419	6.13513889660253e-75	0.211188610258701	4.45522979036222e-47
chr10	127578492	127580402	human_hypo	Human-specific	1911	11	-133.791287761963	0.7207	0.6881	0.9473	0.9274	0.9371	0.9432	1.76978350231006e-169	0.270818493614201	2.80258140329578e-167
chr16	30818102	30819086	human_hypo	Human-specific	985	29	-133.379429101955	0.4556	0.2657	0.6073	0.4206	0.8596	0.7403	1.14814093425072e-37	7.48565249954029e-32	2.13360062952263e-163
chr12	57082764	57083135	human_hypo	Human-specific	372	15	-133.369918824575	0.0746	0.1764	0.3049	0.4446	0.8408	0.886	1.76631947229158e-54	6.12937689680153e-161	0
chr10	23478737	23480153	human_hypo	Human-specific	1417	17	-132.557624718194	0.4384	0.3393	0.6494	0.4873	0.7913	0.5461	4.3802168431127e-28	2.34958756472324e-06	1.18986098753493e-33
